भीतिश्च,:भीतिः,च,
अहमेकं,:अहम्,एकं,
देवतानामपेक्षया,:देवतानाम्,अपेक्षया,
स्वर्णमयमभवत्।,:स्वर्णमयम्,अभवत्।,
अस्योदरे,:अस्य,उदरे,
सुवर्णमस्तीति,:सुवर्णम्,अस्ति,इति,
एवमनेकान्,:एवम्,अनेकान्,
ब्रह्मानन्दमनुभवति,:ब्रह्मानन्दम्,अनुभवति,
अहमेव,:अहम्,एव,
विष्णोर्दर्शनाय,:विष्णोः,दर्शनाय,
श्रीमहाविष्णुमभिज्ञातुं,:श्रीमहाविष्णुम्,अभिज्ञातुं,
विष्णुमायाप्रभावमपृच्छत्।,:विष्णुमायाप्रभावम्,अपृच्छत्।,
तमादिष्टवान्।,:तम्,आदिष्टवान्।,
विवाहमकारयत्।,:विवाहम्,अकारयत्।,
अभवत्तदा,:अभवत्,तदा,
नारदरूपमागतम्।,:नारदरूपम्,आगतम्।,
एतत्सर्वं,:एतत्,सर्वं,
ज्ञातुमशक्या,:ज्ञातुम्,अशक्या,
निश्चयमकरोत्।,:निश्चयम्,अकरोत्।,
प्राप्नुयामिति,:प्राप्नुयाम्,इति,
इत्युपदिष्टवान्।,:इति,उपदिष्टवान्।,
तदनन्तरमपि,:तदनन्तरम्,अपि,
आज्ञामनुसृत्य,:आज्ञाम्,अनुसृत्य,
अध्ययनानन्तरमपि,:अध्ययनानन्तरम्,अपि,
दुःखमयमनित्यं,:दुःखमयम्,अनित्यं,
संसारमिच्छथ,:संसारम्,इच्छथ,
त्वमस्थिरः,:त्वम्,अस्थिरः,
चाभवत्।,:च,अभवत्।,
नास्ताम्।,:न,आस्ताम्।,
पात्रमभवत्।,:पात्रम्,अभवत्।,
भवितुमर्हसि।,:भवितुम्,अर्हसि।,
इत्यवदत्।,:इति,अवदत्।,
निवारयितुमशक्ताः,:निवारयितुम्,अशक्ताः,
कर्तुमिच्छति।,:कर्तुम्,इच्छति।,
व्यर्थमेव,:व्यर्थम्,एव,
सेवकमाहूय,:सेवकम्,आहूय,
उभयोर्मध्ये,:उभयोः,मध्ये,
भीकरयुद्धमभवत्।,:भीकरयुद्धम्,अभवत्।,
उत्सवमकुर्वन्।,:उत्सवम्,अकुर्वन्।,
तवैव,:तव,एव,
पतिदानमकरोत्।,:पतिदानम्,अकरोत्।,
तोलयितुमिच्छति,:तोलयितुम्,इच्छति,
तृणमपि,:तृणम्,अपि,
तेषामार्तानां,:तेषाम्,आर्तानां,
जीवितलक्ष्यमासीत्।,:जीवितलक्ष्यम्,आसीत्।,
भविष्यतीति,:भविष्यति,इति,
हन्तुमुद्युक्तः,:हन्तुम्,उद्युक्तः,
तेनैव,:तेन,एव,
हरेस्तपः,:हरेः,तपः,
सिद्धोSसि,:सिद्धः,असि,
सूर्यमिव,:सूर्यम्,इव,
मामनुगृह्णीष्व,:माम्,अनुगृह्णीष्व,
वासुदेवमन्त्रमुपादिष्टवान्।,:वासुदेवमन्त्रम्,उपादिष्टवान्।,
तमुचितासन्दे,:तम्,उचितासन्दे,
उपदेष्टुमारम्भं,:उपदेष्टुम्,आरम्भं,
इच्छामनुसृत्य,:इच्छाम्,अनुसृत्य,
सम्माननमकरोत्,:सम्माननम्,अकरोत्,
नारदमपृच्छत्।,:नारदम्,अपृच्छत्।,
शक्यमभवत्।,:शक्यम्,अभवत्।,
अनेकत्वमेव,:अनेकत्वम्,एव,
भ्रान्तिकारकमिति,:भ्रान्तिकारकम्,इति,
भगवत्तत्वमुपदिष्टवान्।,:भगवत्तत्वम्,उपदिष्टवान्।,
एवमवदत्,:एवम्,अवदत्,
अनुभवन्नपि,:अनुभवन्,अपि,
एवमुत्तरं,:एवम्,उत्तरं,
भवन्तमुपदेष्टुं,:भवन्तम्,उपदेष्टुं,
नाहं,:न,अहं,
चासीत्।,:च,आसीत्।,
एतज्जगत्सर्वं,:एतत्,जगत्,सर्वं,
भागवतरचनामकरोत्।,:भागवतरचनाम्,अकरोत्।,
स्वयमेव,:स्वयम्,एव,
रचनामकरोत्।,:रचनाम्,अकरोत्।,
पूर्वजन्मकर्मफलमनुगुण्य,:पूर्वजन्मकर्मफलम्,अनुगुण्य,
