वृद्धिरादैच्,वृद्धिःआदैच्
व्यक्तवाचां समुच्चारणे,व्यक्तवाचाम्समुच्चारणे
अनोरकर्मकात्,अनोःअकर्मकात्
अवाद्ग्रः,अवात्ग्रः
उदश्चरः सकर्मकात्,उदःचरःसकर्मकात्
समस्तृतीयायुक्तात्,समःतृतीयायुक्तात्
दाणश्च सा चेच्चतुर्थ्यर्थे,दाणःचसाचेत्चतुर्थ्यर्थे
उपाद्यमः स्वकरणे,उपात्यमःस्वकरणे
ज्ञाश्रुस्मृदृशां सनः,ज्ञाश्रुस्मृदृशाम्सनः
नानोर्ज्ञः,नअनोःज्ञः
प्रत्याङ्भ्यां श्रुवः,प्रत्याङ्भ्याम्श्रुवः
म्रियतेर्लुङ्‌लिङोश्च,म्रियतेलुङ्‌लिङोःच
आम्प्रत्ययवत् कृञोऽनुप्रयोगस्य,आम्प्रत्ययवत्कृञःअनुप्रयोगस्य
प्रोपाभ्यां युजेरयज्ञपात्रेषु,प्रोपाभ्याम्युजेःअयज्ञपात्रेषु
भुजोऽनवने,भुजःअनवने
णेरणौ यत् कर्म णौ चेत् स कर्ताऽनाध्याने,णेःअणौयत्कर्मणौचेत्सःकर्ताअनाध्याने
भीस्म्योर्हेतुभये,भीस्म्योःहेतुभये
लियः सम्माननशालिनीकरणयोश्च,लियःसम्माननशालिनीकरणयोःच
मिथ्योपपदात् कृञोऽभ्यासे,मिथ्योपपदात्कृञःअभ्यासे
अपाद्वदः,अपात्वदः
णिचश्च,णिचःच
समुदाङ्भ्यो यमोऽग्रन्थे,समुदाङ्भ्यःयमःअग्रन्थे
अनुपसर्गाज्ज्ञः,अनुपसर्गात्ज्ञः
विभाषोपपदेन प्रतीयमाने,विभाषाउपपदेनप्रतीयमाने
अनुपराभ्यां कृञः,अनुपराभ्याम्कृञः
प्राद्वहः,प्रात्वहः
परेर्मृषः,परेःमृषः
व्याङ्परिभ्यो रमः,व्याङ्परिभ्यःरमः
उपाच्च,उपात्च
विभाषाऽकर्मकात्,विभाषाअकर्मकात्
निगरणचलनार्थेभ्यः,निगरणचलनार्थेभ्यःच
अणावकर्मकाच्चित्तवत्कर्तृकात्,अणौअकर्मकात्चित्तवत्कर्तृकात्
द्युद्भ्यो लुङि,द्‍युभ्यःलुङि
वृद्भ्यः स्यसनोः,वृद्‍भ्यःस्यसनोः
आ कडारादेका संज्ञा,आकडारात्एकासंज्ञा
विप्रतिषेधे परं कार्यम्,विप्रतिषेधेपरम्कार्यम्
नेयङुवङ्स्थानावस्त्री,नइयङुवङ्स्थानौअस्त्री
वाऽऽमि,वाआमि
शेषो घ्यसखि,शेषःघिअसखि
पतिः समास एव,पतिःसमासेएव
षष्ठीयुक्तश्छन्दसि वा,षष्ठीयुक्तःछन्दसिवा
ह्रस्वं लघु,ह्रस्वम्लघु
दीर्घं च,दीर्घम्च
यस्मात् प्रत्ययविधिस्तदादि प्रत्ययेऽङ्गम्,यस्मात्प्रत्ययविधिःतदादिप्रत्ययेअङ्गम्
सुप्तिङन्तं पदम्,सुप्तिङन्तम्पदम्
स्वादिष्वसर्वनामस्थाने,स्वादिषुअसर्वनमस्थाने
अयस्मयादीनि च्छन्दसि,अयस्मयादीनिछन्दसि
ध्रुवमपायेऽपादानम्,ध्रुवम्अपायेअपादानम्
भीत्रार्थानां भयहेतुः,भीत्रार्थानाम्भयहेतुः
पराजेरसोढः,पराजेःअसोढः
वारणार्थानां ईप्सितः,वारणार्थानाम्ईप्सितः
अन्तर्द्धौ येनादर्शनमिच्छति,अन्तर्द्धौयेनअदर्शनम्इच्छतिपदम्
आख्यातोपयोगे,आख्याताउपयोगे
कर्मणा यमभिप्रैति स सम्प्रदानम्,कर्मणायम्अभिप्रैतिसःसम्प्रदानम्
रुच्यर्थानां प्रीयमाणः,रुच्यर्थानाम्प्रीयमाणः
श्लाघह्नुङ्स्थाशपां ज्ञीप्स्यमानः,श्लाघह्नुङ्स्थाशपाम्ज्ञीप्स्यमानः
धारेरुत्तमर्णः,धारेःउत्तमर्णः
स्पृहेरीप्सितः,स्पृहेःईप्सितः
क्रुधद्रुहेर्ष्याऽसूयार्थानां यं प्रति कोपः,क्रुधद्रुहेर्ष्यासूयार्थानाम्यम्प्रतिकोपः
क्रुधद्रुहोरुपसृष्टयोः कर्म,क्रुधद्रुहोःउपसृष्टयोःकर्म
राधीक्ष्योर्यस्य विप्रश्नः,राधीक्ष्योःयस्यविप्रश्नः
प्रत्याङ्भ्यां श्रुवः पूर्वस्य कर्ता,प्रत्याङ्भ्याम्श्रुवःपूर्वस्यकर्ता
अनुप्रतिगृणश्च,अनुप्रतिगृणःच
साधकतमं करणम्,साधकतमम्करणम्
परिक्रयणे सम्प्रदानमन्यतरस्याम्,परिक्रयणेसम्प्रदानम्अन्यतरस्याम्
आधारोऽधिकरणम्,आधारःअधिकरणम्
अधिशीङ्स्थाऽऽसां कर्म,अधिशीङ्स्थाऽऽसाम्कर्म
अभिनिविशश्च,अभिनिविशःच
कर्तुरीप्सिततमं कर्म,कर्तुःईप्सिततमम्कर्म
तथायुक्तं चानिप्सीतम्,तथायुक्तम्चआनिप्सीतम्
अकथितं च,अकथितम्च
गतिबुद्धिप्रत्यवसानार्थशब्दकर्माकर्मकाणामणि कर्ता,गतिबुद्धिप्रत्यवसानार्थशब्दकर्माकर्मकाणाम्अणिकर्तासःणौ
हृक्रोरन्यतरस्याम्,हृक्रोःअन्यतरस्याम्
तत्प्रयोजको हेतुश्च,तत्प्रयोजकःहेतुःच
प्राग्रीश्वरान्निपाताः,प्राक्रीश्वरात्निपाताः
चादयोऽसत्त्वे,चादयःअसत्त्वे
गतिश्च,गतिःच
ऊर्यादिच्विडाचश्च,ऊर्यादिच्विडाचःच
अनुकरणं चानितिपरम्,अनुकरणम्चअनितिपरम्
भूषणेऽलम्,भूषणेअलम्
अन्तरपरिग्रहे,अन्तःअपरिग्रहे
पुरोऽव्ययम्,पुरःअव्ययम्
अस्तं च,अस्तम्च
अदोऽनुपदेशे,अदःअनुपदेशे
तिरोऽन्तर्द्धौ,तिरःअन्तर्द्धौ
अनत्याधान उरसिमनसी,अनत्याधानेउरसिमनसी
नित्यं हस्ते पाणावुपयमने,नित्यम्हस्ते
प्राध्वं बन्धने,प्राध्वम्बन्धने
जीविकोपनिषदावौपम्ये,जीविकोपनिषदौऔपम्ये
छन्दसि परेऽपि,छन्दसिपरेअपि
व्यवहिताश्च,व्यवहिताःच
अनुर्लक्षणे,अनुःलक्षणे
उपोऽधिके च,उपःअधिकेच
अभिरभागे,अभिःअभागे
अतिरतिक्रमणे च,अतिःअतिक्रमणेच
अधिरीश्वरे,अधिःईश्वरे
तङानावात्मनेपदम्,तङानौआत्मनेपदम्
तिङस्त्रीणि त्रीणि प्रथममध्यमोत्तमाः,तिङःत्रीणित्रीणिप्रथममध्यमोत्तमाः
तान्येकवचनद्विवचनबहुवचनान्येकशः,तानिएकवचनद्विवचनबहुवचनान्येकशः
विभक्तिश्च,विभक्तिःच
युष्मद्युपपदे समानाधिकरणे स्थानिन्यपि मध्यमः,युष्मदिउपपदेसमानाधिकरणेस्थानिनिअपिमध्यमः
प्रहासे च मन्योपपदे मन्यतेरुत्तम एकवच्च,प्रहासेचमन्योपपदेमन्यतेःउत्तमएकवत्च
अस्मद्युत्तमः,अस्मदिउत्तमः
परः संनिकर्षः संहिता,परःसन्निकर्षःसंहिता
विरामोऽवसानम्,विरामःअवसानम्
सुबामन्त्रिते पराङ्गवत्‌ स्वरे,सुप्आमन्त्रितेपराङ्गवत्स्वरे
यथाऽसादृये,यथाअसादृये
यावदवधारणे,यावत्अवधारणे
लक्षणेनाभिप्रती आभिमुख्ये,लक्षणेनअभिप्रतीआभिमुख्ये
अनुर्यत्समया,अनुःयत्समया
यस्य चायामः,यस्यचआयामः
नदीभिश्च,नदीभिःच
अन्यपदार्थे च संज्ञायाम्‌,अन्यपदार्थेचसंज्ञायाम्
द्विगुश्च,द्विगुःच
स्वयं क्तेन,स्वयम्क्तेन
तृतीया तत्कृतार्थेन गुणवचनेन,तृतीयातत्कृतअर्थेनगुणवचनेन
कर्तृकरणे कृता बहुलम्‌,कर्तृकरणेकृताबहुलम्
कृत्यैरधिकार्थवचने,कृत्यैःअधिकार्थवचने
अन्नेन व्यञ्जनम्‌,अन्नेनव्यञ्जनम्
भक्ष्येण मिश्रीकरणम्‌,भक्ष्येणमिश्रीकरणम्
अपेतापोढमुक्तपतितापत्रस्तैरल्पशः,अपेतापोढमुक्तपतितापत्रस्तैःअल्पशः
सिद्धशुष्कपक्वबन्धैश्च,सिद्धशुष्कपक्वबन्धैःच
कृत्यैर्ऋणे,कृत्यैःऋणे
क्तेनाहोरात्रावयवाः,क्तेनअहोरात्रावयवाः
पात्रेसमितादयश्च,पात्रेसंमितादयःच
संख्यापूर्वो द्विगुः,संख्यापूर्वःद्विगुः
उपमितं व्याघ्रादिभिः सामान्याप्रयोगे,उपमितम्व्याघ्रादिभिःसामान्याप्रयोगे
विशेषणं विशेष्येण बहुलम्‌,विशेषणम्विशेष्येणबहुलम्
पूर्वापरप्रथमचरमजघन्यसमानमध्यमध्यमवीराश्च,पूर्वापरप्रथमचरमजघन्यसमानमध्यमध्यमवीराःच
क्तेन नञ्विशिष्टेनानञ्,क्तेननञ्विशिष्टेनअनञ्
वृन्दारकनागकुञ्जरैः पूज्यमानम्‌,वृन्दारकनागकुञ्जरैःपूज्यमानम्
किं क्षेपे,किम्क्षेपे
प्रशंसावचनैश्च,प्रशंसावचनैःच
कृत्यतुल्याख्या अजात्या,कृत्यतुल्याख्याःअजात्या
वर्णो वर्णेन,वर्णःवर्णेन
चतुष्पादो गर्भिण्या,चतुष्पादःगर्भिण्या
मयूरव्यंसकादयश्च,मयूरव्यंसकादयःच
पूर्वापराधरोत्तरमेकदेशिनैकाधिकरणे,पूर्वापराधरोत्तरम्एकदेशिनाएकाधिकरणे
अर्धं नपुंसकम्‌,अर्धम्नपुंसकम्
द्वितीयतृतीयचतुर्थतुर्याण्यन्यतरस्याम्‌,द्वितीयतृतीयचतुर्थतुर्याणिअन्यतरस्याम्
ईषदकृता,ईषत्अकृता
याजकादिभिश्च,याजकादिभिःच
क्तेन च पूजायाम्‌,क्तेनचपूजायाम्
तृजकाभ्यां कर्तरि,तृजकाभ्याम्कर्त्तरि
नित्यं क्रीडाजीविकयोः,नित्यम्क्रीडाजीविकयोः
उपपदमतिङ्,उपपदम्अतिङ्
अमैवाव्ययेन,अमाएवअव्ययेन
तृतीयाप्रभृतीन्यन्यतरस्याम्‌,तृतीयाप्रभृतीनिअन्यतरस्याम्
शेषो बहुव्रीहिः,शेषःबहुव्रीहिः
अनेकमन्यपदार्थे,अनेकम्अन्यपदार्थे
संख्ययाऽव्ययासन्नादूराधिकसंख्याः संख्येये,संख्ययाअव्ययासन्नादूराधिकसंख्याःसंख्येये
तत्र तेनेदमिति सरूपे,तत्रतेन्इदम्इतिसरूपे
तेन सहेति तुल्ययोगे,तेनसहइतितुल्ययोगे
चार्थे द्वंद्वः,चार्थेद्वन्द्वः
उपसर्जनं पूर्वम्‌,उपसर्जनम्पूर्वम्
राजदन्तादिषु परम्‌,राजदन्तादिषुपरम्
द्वंद्वे घि,द्वन्द्वेघि
वाऽऽहिताग्न्यादिषु,वाआहिताग्न्यादिषु
तृतीया च होश्छन्दसि,तृतीयाचहोःछन्दसि
कालाध्वनोरत्यन्तसंयोगे,कालाध्वनोःअत्यन्तसंयोगे
यस्मादधिकं यस्य चेश्वरवचनं तत्र सप्तमी,यस्मात्अधिकम्यस्यईश्वरवचनम्तत्रसप्तमी
प्रतिनिधिप्रतिदाने च यस्मात्‌,प्रतिनिधिप्रतिदानेचयस्मात्
गत्यर्थकर्मणि द्वितीयाचतुर्थ्यौ चेष्टायामनध्वनि,गत्यर्थकर्मणिद्वितीयाचतुर्थ्यौचेष्टायाम्अनध्वनि
तुमर्थाच्च भाववचनात्‌,तुमर्थात्चभाववचनात्
नमःस्वस्तिस्वाहास्वधालंवषड्योगाच्च,नमःस्वस्तिस्वाहास्वधालंवषड्योगात्च
मन्यकर्मण्यनादरे विभाषाऽप्राणिषु,मन्यकर्मणिअनादरेविभाषाअप्राणिषु
कर्तृकरणयोस्तृतीया,कर्त्तृकरणयोःतृतीया
सहयुक्तेऽप्रधाने,सहयुक्तेअप्रधाने
येनाङ्गविकारः,येनअङ्गविकारः
संज्ञोऽन्यतरस्यां कर्मणि,संज्ञःअन्यतरस्याम्कर्मणि
अकर्तर्यृणे पञ्चमी,अकर्त्तरिऋणेपञ्चमी
विभाषा गुणेऽस्त्रियाम्‌,विभाषागुणेअस्त्रियाम्
सर्वनाम्नस्तृतीया च,सर्वनाम्नःतृतीयाच
षष्ठ्यतसर्थप्रत्ययेन,षष्ठीअतसर्थप्रत्ययेन
पृथग्विनानानाभिस्तृतीयाऽन्यतरस्याम्‌,पृथग्विनानानाभिःतृतीयाअन्यतरस्याम्
करणे च स्तोकाल्पकृच्छ्रकतिपयस्यासत्त्ववचनस्य,करणेचस्तोकाल्पकृच्छ्रकतिपयस्यअसत्त्ववचनस्य
दूरान्तिकार्थैः षष्ठ्यन्यतरस्याम्‌,दूरान्तिकार्थैःषष्ठीअन्यतरस्याम्
दूरान्तिकार्थेभ्यो द्वितीया च,दूरान्तिकार्थेभ्यःद्वितीयाच
सप्तम्यधिकरणे च,सप्तमीअधिकरणेच
यस्य च भावेन भावलक्षणम्‌,यस्यचभावेनभावलक्षणम्
षष्ठी चानादरे,षष्ठीचअनादरे
स्वामीश्वराधिपतिदायादसाक्षिप्रतिभूप्रसूतैश्च,स्वामीश्वराधिपतिदायादसाक्षिप्रतिभूप्रसूतैःच
आयुक्तकुशलाभ्यां चासेवायाम्‌,आयुक्तकुशलाभ्याम्चआसेवायाम्
यतश्च निर्धारणम्‌,यतःचनिर्द्धारणम्
साधुनिपुणाभ्याम् अर्चायां सप्तम्यप्रतेः,साधुनिपुणाभ्याम्अर्चायाम्सप्तमीअप्रतेः
प्रसितोत्सुकाभ्यां तृतीया च,प्रसितोत्सुकाभ्याम्तृतीयाच
साऽऽमन्त्रितम्‌,साआमन्त्रितम्
एकवचनं संबुद्धिः,एकवचनम्सम्बुद्धिः
ज्ञोऽविदर्थस्य करणे,ज्ञःअविदर्थस्यकरणे
अधीगर्थदयेशां कर्मणि,अधीगर्थदयेशाम्कर्मणि
रुजार्थानां भाववचनानामज्वरेः,रुजार्थानाम्भाववचनानाम्अज्वरेः
जासिनिप्रहणनाटक्राथपिषां हिंसायाम्‌,जासिनिप्रहणनाटक्राथपिषाम्हिंसायाम्
दिवस्तदर्थस्य,दिवःतदर्थस्य
विभाषोपसर्गे,विभाषाउपसर्गे
प्रेष्यब्रुवोर्हविषो देवतासम्प्रदाने,प्रेष्यब्रुवोःहविषःदेवतासम्प्रदाने
चतुर्थ्यर्थे बहुलं छन्दसि,चतुर्थ्यर्थेबहुलम्छन्दसि
यजेश्च करणे,यजेःचकरणे
कृत्वोऽर्थप्रयोगे कालेऽधिकरणे,कृत्वोऽर्थप्रयोगेकालेअधिकरणे
क्तस्य च वर्तमाने,क्तस्यचवर्त्तमाने
अधिकरणवाचिनश्च,अधिकरणवाचिनःच
न लोकाव्ययनिष्ठाखलर्थतृनाम्‌,नलोकाव्ययनिष्ठाखलर्थतृनाम्
अकेनोर्भविष्यदाधमर्ण्ययोः,अकेनोःभविष्यदाधमर्ण्ययोः
कृत्यानां कर्तरि वा,कृत्यानाम्कर्त्तरिवा
तुल्यार्थैरतुलोपमाभ्यां तृतीयाऽन्यतरस्याम्‌,तुल्यार्थेअतुलोपमाभ्याम्तृतीयाअन्यतरस्याम्
चतुर्थी चाशिष्यायुष्यमद्रभद्रकुशलसुखार्थहितैः,चतुर्थीचआशिषिआयुष्यमद्रभद्रकुशलसुखार्थहितैः
द्विगुरेकवचनम्‌,द्विगुःएकवचनम्
द्वंद्वश्च प्राणितूर्यसेनाङ्गानाम्‌,द्वन्द्वःचप्राणितूर्यसेनाङ्गानाम्
अनुवादे चरणानाम्‌,अनुवादेचरणानाम्
अध्वर्युक्रतुरनपुंसकम्,अध्वर्युक्रतुःअनपुंसकम्
अध्ययनतोऽविप्रकृष्टाख्यानाम्‌,अध्ययनतःअविप्रकृष्टाख्यानाम्
जातिरप्राणिनाम्‌,जातिःअप्राणिनाम्
विशिष्टलिङ्गो नदी देशोऽग्रामाः,विशिष्टलिङ्गह्नदीदेशःअग्रामाः
येषां च विरोधः शाश्वतिकः,येषाम्चविरोधःशाश्वतिकः
शूद्राणामनिरवसितानाम्‌,शूद्राणाम्अनिरवसितानाम्
विभाषा वृक्षमृगतृणधान्यव्यञ्जनपशुशकुन्यश्ववडवपूर्वापराधरोत्तराणाम्‌,विभाषावृक्षमृगतृणधान्यव्यञ्जनपशुशकुन्यश्ववडवपूर्वापराधरोत्तराणाम्
विप्रतिषिद्धं चानधिकरणवाचि,विप्रतिषिद्धम्चअनधिकरणवाचि
स नपुंसकम्‌,सःनपुंसकम्
अव्ययीभावश्च,अव्ययीभावःच
तत्पुरुषोऽनञ्‌ कर्मधारयः,तत्पुरुषःअनञ्कर्मधारयः
संज्ञायां कन्थोशीनरेषु,संज्ञायाम्कन्थाउशीनरेषु
उपज्ञोपक्रमं तदाद्याचिख्यासायाम्‌,उपज्ञोपक्रमम्तदाद्याचिख्यासायाम्
विभाषा सेनासुराछायाशालानिशानाम्‌,विभाषासेनासुराच्छायाशालानिशानाम्
परवल्लिङ्गं द्वन्द्वतत्पुरुषयोः,परवत्लिङ्गम्द्वन्द्वतत्पुरुषयोः
पूर्ववदश्ववडवौ,पूर्ववत्अश्ववडवौ
हेमन्तशिशिरावहोरात्रे च च्छन्दसि,हेमन्तशिशिरौअहोरात्रेचछन्दसि
अपथं नपुंसकम्‌,अपथम्नपुंसकम्
इदमोऽन्वादेशेऽशनुदात्तस्तृतीयाऽऽदौ,इदमःअन्वादेशेअश्अनुदात्तःतृतीयाऽऽदौ
एतदस्त्रतसोस्त्रतसौ चानुदात्तौ,एतदःत्रतसोःत्रतसौचअनुदात्तौ
द्वितीयाटौस्स्वेनः,द्वितीयाटौस्सुएनः
अदो जग्धिर्ल्यप्ति किति,अदःजग्धिःल्यप्तिकिति
लुङ्सनोर्घसॢ,लुङ्सनोःघसॢ
घञपोश्च,घञपोःच
बहुलं छन्दसि,बहुलम्छन्दसि
लिट्यन्यतरस्याम्‌,लिटिअन्यतरस्याम्
वेञो वयिः,वेञःवयिः
हनो वध लिङि,हनःवधलिङि
आत्मनेपदेष्वन्यतरस्याम्‌,आत्मनेपदेषुअन्यतरस्याम्
इणो गा लुङि,इणःगालुङि
णौ गमिरबोधने,णौगमिःअबोधने
इङश्च,इङःच
गाङ्‌ लिटि,गाङ्लिटि
अस्तेर्भूः,अस्तेःभूः
ब्रुवो वचिः,ब्रुवःवचिः
चक्षिङः ख्याञ्‌,चक्षिङःख्याञ्
