Sutra krama सू. क्र. सं	Akaaraadi krama अकारादि क्र. सं	Kaumudi krama कौमुदी क्र. सं	Sutra type सूत्रलक्षणम्‌	Term संज्ञा	Special case अतिदेशः	Influence अधिकारः	Commentary व्याख्यानम्‌	Sutra text सूत्रम्‌	PadacCheda पद्च्छेदः
24071	3762	650					Sktdocs-2.4.71; AVG-2.4.71	सुपो धातुप्रातिपदिकयोः ।	सुपः ६/१ धातुप्रातिपदिकयोः ६/२
24072	132	2423					Sktdocs-2.4.72; AVG-2.4.72	अदिप्रभृतिभ्यः शपः ।	अदिप्रभृतिभ्यः ५/३ शपः ६/१
24073	2587	3400					Sktdocs-2.4.73; AVG-2.4.73	बहुलं छन्दसि ।	बहुलम् १/१ छन्दसि ७/१
24074	2809	2650					Sktdocs-2.4.74; AVG-2.4.74	यङोऽचि च ।	यङः ६/१ अचि ७/१ च ०/०
24075	1525	2489					Sktdocs-2.4.75; AVG-2.4.75	जुहोत्यादिभ्यः श्लुः ।	जुहोत्यादिभ्यः ५/३ श्लुः १/१
24076	2588	3401					Sktdocs-2.4.76; AVG-2.4.76	बहुलं छन्दसि ।	बहुलम् १/१ छन्दसि ७/१
24077	1288	2223					Sktdocs-2.4.77; AVG-2.4.77	गातिस्थाघुपाभूभ्यः सिचः परस्मैपदेषु ।	गातिस्थाघुपाभूभ्यः ५/३ सिचः ६/१ परस्मैपदेषु ७/३
24078	3194	2376					Sktdocs-2.4.78; AVG-2.4.78	विभाषा घ्राधेट्शाच्छासः ।	विभाषा १/१ घ्राधेट्-शाच्छासः ५/१
24079	1658	2547					Sktdocs-2.4.79; AVG-2.4.79	तनादिभ्यस्तथासोः ।	तनादिभ्यः ५/३ तथासोः ७/२
24080	2740	3402					Sktdocs-2.4.80; AVG-2.4.80	मन्त्रे घसह्वरणशवृदहाद्वृच्कृगमिजनिभ्यो लेः ।	मन्त्रे ७/१ घसह्वरणशवृदहाद्‍वृच्कृगमिजनिभ्यः ५/३ लेः ६/१
24081	550	2238					Sktdocs-2.4.81; AVG-2.4.81	आमः ।	आमः ५/१
24082	403	452					Sktdocs-2.4.82; AVG-2.4.82	अव्ययादाप्सुपः ।	अव्ययात् ५/१ आप्सुपः ६/१
24083	2162	657					Sktdocs-2.4.83; AVG-2.4.83	नाव्ययीभावादतोऽम्त्वपञ्चम्याः ।	न ०/० आव्ययीभावात् ५/१ अतः ५/१ अम् १/१ तु ०/० अपञ्चम्याः ६/१
24084	1774	658					Sktdocs-2.4.84; AVG-2.4.84	तृतीयासप्तम्योर्बहुलम्‌ ।	तृतीयासप्तम्योः ६/२ बहुलम् १/१
24085	3010	2188					Sktdocs-2.4.85; AVG-2.4.85	लुटः प्रथमस्य डारौरसः ।	लुटः ६/१ प्रथमस्य ६/१ डारौरसः १/३
31001	2477	180	संज्ञा; अधिकारः	प्रत्ययः		31001-54160	Sktdocs-3.1.1; AVG-3.1.1	प्रत्ययः ।	प्रत्ययः १/१
31002	2298	181	अधिकारः			31002-54160	Sktdocs-3.1.2; AVG-3.1.2	परश्च ।	परः १/१ च ०/०
31003	535	3708					Sktdocs-3.1.3; AVG-3.1.3	आद्युदात्तश्च ।	आद्युदात्तः १/१ च ०/०
31004	191	3709					Sktdocs-3.1.4; AVG-3.1.4	अनुदत्तौ सुप्पितौ ।	अनुदत्तौ १/२ सुप्पितौ १/२
31005	1300	2393					Sktdocs-3.1.5; AVG-3.1.5	गुप्तिज्किद्भ्यः सन् ।	गुप्तिज्किद्‍भ्यः ५/३ सन् १/१
31006	2773	2394					Sktdocs-3.1.6; AVG-3.1.6	मान्बधदान्शान्भ्यो दीर्घश्चाभ्यासस्य ।	मान्बधदान्शान्भ्यः ५/३ दीर्घः १/१ च ०/० अभ्यासस्य ६/१
31007	1998	2608					Sktdocs-3.1.7; AVG-3.1.7	धातोः कर्मणः समानकर्तृकादिच्छायां वा ।	धातोः ५/१ कर्मणः ६/१ समानकर्तृकात् ५/१ इच्छायाम् ७/१ वा ०/०
31008	3757	2657					Sktdocs-3.1.8; AVG-3.1.8	सुप आत्मनः क्यच् ।	सुप १/१ आत्मनः ६/१ क्यच् १/१
31009	1051	2663					Sktdocs-3.1.9; AVG-3.1.9	काम्यच्च ।	काम्यच् १/१ च ०/०
31010	768	2664					Sktdocs-3.1.10; AVG-3.1.10	उपमानादाचारे ।	उपमानात् ५/१ आचारे ७/१
31011	997	2665					Sktdocs-3.1.11; AVG-3.1.11	कर्तुः क्यङ् सलोपश्च ।	कर्तुः ५/१ क्यङ् १/१ सलोपः १/१ च ०/०
31012	2699	2667					Sktdocs-3.1.12; AVG-3.1.12	भृशादिभ्यो भुव्यच्वेर्लोपश्च हलः ।	भृशादिभ्यः ५/३ भुवि ७/१ अच्वे ५/१ लोपः १/१ च ०/० हलः ६/१
31013	3035	2668					Sktdocs-3.1.13; AVG-3.1.13	लोहितादिडाज्भ्यः क्यष्।	लोहितादिडाज्भ्यः ५/३ क्यष् १/१
31014	1041	2670					Sktdocs-3.1.14; AVG-3.1.14	कष्टाय क्रमणे ।	कष्टाय ४/१ क्रमणे ७/१
31015	1008	2671					Sktdocs-3.1.15; AVG-3.1.15	कर्मणः रोमन्थतपोभ्यां वर्तिचरोः ।	कर्मणः ५/१ रोमन्थतपोभ्याम् ५/२ वर्त्तिचरोः ७/२
31016	2619	2672					Sktdocs-3.1.16; AVG-3.1.16	बाष्पोष्माभ्यां उद्वमने ।	वाष्पोष्माभ्याम् ५/२ उद्वमने ७/१
31017	3360	2673					Sktdocs-3.1.17; AVG-3.1.17	शब्दवैरकलहाभ्रकण्वमेघेभ्यः करणे ।	शब्दवैरकलहाभ्रकण्वमेघेभ्यः ५/३ करणे ७/१
31018	3747	2674					Sktdocs-3.1.18; AVG-3.1.18	सुखादिभ्यः कर्तृवेदनायाम् ।	सुखादिभ्यः ५/३ कर्तृ (लुप्तषष्ठ्यन्तनिर्देशः) वेदनायाम् ७/१
31019	2123	2675					Sktdocs-3.1.19; AVG-3.1.19	नमोवरिवश्चित्रङः क्यच् ।	नमोवरिवश्चित्रङः ५/१ क्यच् १/१
31020	2383	2676					Sktdocs-3.1.20; AVG-3.1.20	पुच्छभाण्डचीवराण्णिङ् ।	पुच्छभाण्डचीवरात् ५/१ णिङ् १/१
31021	2789	2677					Sktdocs-3.1.21; AVG-3.1.21	मुण्डमिश्रश्लक्ष्णलवणव्रतवस्त्रहलकलकृततूस्तेभ्यो	मुण्डमिश्रश्लक्ष्णलवणव्रतवस्त्रहलकलकृततूस्तेभ्यः ५/३ णिच् १/१
31022	1999	2629	अधिकारः			31022-31090	Sktdocs-3.1.22; AVG-3.1.22	धातोरेकाचो हलादेः क्रियासमभिहारे यङ् ।	धातोः ५/१ एकाचः ५/१ हलादेः ५/१ क्रियासमभिहारे ७/१ यङ् १/१
31023	2171	2634					Sktdocs-3.1.23; AVG-3.1.23	नित्यं कौटिल्ये गतौ ।	नित्यम् १/१ कौटिल्ये ७/१ गतौ ७/१
31024	3012	2635					Sktdocs-3.1.24; AVG-3.1.24	लुपसदचरजपजभदहदशगॄभ्यो भावगर्हायाम् ।	लुपसदचरजपजभदहदशगॄभ्यः ५/३ भावगर्हायाम् ७/१
31025	3581	2563					Sktdocs-3.1.25; AVG-3.1.25	सत्यापपाशरूपवीणातूलश्लोकसेनालोमत्वचवर्मवर्णचूर्णचुरादिभ्यो णिच् ।	सत्यापपाशरूपवीणातूलश्लोकसेनालोमत्वचवर्मवर्णचूर्णचुरादिभ्यः ५/३ णिच् १/१
31026	3954	2576					Sktdocs-3.1.26; AVG-3.1.26	हेतुमति च ।	हेतुमति ७/१ च ०/०
31027	965	2678					Sktdocs-3.1.27; AVG-3.1.27	कण्ड्वादिभ्यो यक् ।	कण्ड्वादिभ्यः ५/३ यक् १/१
31028	1298	2303					Sktdocs-3.1.28; AVG-3.1.28	गुपूधूपविच्छिपणिपनिभ्य आयः ।	गुपूधूपविच्छिपणिपनिभ्यः ५/३ आयः १/१
31029	857	2422					Sktdocs-3.1.29; AVG-3.1.29	ऋतेरीयङ् ।	ऋतेः ५/१ ईयङ् १/१
31030	980	2310					Sktdocs-3.1.30; AVG-3.1.30	कमेर्णिङ् ।	कमेः ५/१ णिङ् १/१
31031	559	2305					Sktdocs-3.1.31; AVG-3.1.31	आयादय आर्धद्धातुके वा ।	आयादयः १/३ आर्धद्धातुके ७/१ वा ०/०
31032	3589	2304	संज्ञा	धातुः			Sktdocs-3.1.32; AVG-3.1.32	सनाद्यन्ता धातवः ।	सनाद्यन्ताः १/३ धातवः १/३
31033	3856	2186					Sktdocs-3.1.33; AVG-3.1.33	स्यतासी लृलुटोः ।	स्यतासी १/२ लृलुटोः ७/२
31034	3741	3425					Sktdocs-3.1.34; AVG-3.1.34	सिब्बहुलं लेटि ।	सिप् १/१ बहुलम् १/१ लेटि ७/१
31035	1076	2306					Sktdocs-3.1.35; AVG-3.1.35	कास्प्रत्ययादाममन्त्रे लिटि ।	कास्प्रत्ययात् ५/१ आम् १/१ अमन्त्रे ७/१ लिटि ७/१
31036	614	2237					Sktdocs-3.1.36; AVG-3.1.36	इजादेश्च गुरुमतोऽनृच्छः ।	इजादेः ५/१ च ०/० गुरुमतः ५/१ अनृच्छः ५/१
31037	1837	2324					Sktdocs-3.1.37; AVG-3.1.37	दयायासश्च ।	दयायासः ५/१ च ०/०
31038	824	2341					Sktdocs-3.1.38; AVG-3.1.38	उषविदजागृभ्योऽन्यतरस्याम् ।	उषविदजागृभ्यः ५/३ अन्यतरस्याम् ०/०
31039	2680	2491					Sktdocs-3.1.39; AVG-3.1.39	भीह्रीभृहुवां श्लुवच्च ।	भीह्रीभृहुवाम् ६/३ श्लुवत् ०/० च ०/०
31040	1139	2239					Sktdocs-3.1.40; AVG-3.1.40	कृञ् चानुप्रयुज्यते लिटि ।	कृञ् १/१ च ०/० अनुप्रयुज्यते ७/१ लिटि ७/१
31041	3162	2465					Sktdocs-3.1.41; AVG-3.1.41	विदाङ्कुर्वन्त्वित्यन्यतरस्याम् ।	विदाङ्-कुर्वन्तु (तिङ्) इति ०/० अन्यतरस्याम् ०/०
31042	324	3403					Sktdocs-3.1.42; AVG-3.1.42	अभ्युत्सादयांप्रजनयांचिकयांरमयामकः	अभ्युत्सादयाम् १/१ प्रजनयाम् १/१ चिकयाम् १/१ रमयाम् १/१ अकः (तिङ्) पावयांक्रियात् (तिङ्) विदामक्रन् (तिङ्) इति ०/० छन्दसि ७/१
31043	1434	2221					Sktdocs-3.1.43; AVG-3.1.43	च्लि लुङि ।	च्लि (लुप्तप्रथमान्तनिर्देशः) लुङि ७/१
31044	1435	2222					Sktdocs-3.1.44; AVG-3.1.44	च्लेः सिच् ।	च्लेः ६/१ सिच् १/१
31045	3376	2336					Sktdocs-3.1.45; AVG-3.1.45	शल इगुपधादनिटः क्सः ।	शलः ५/१ इगुपधात् ५/१ अनिटः ६/१ क्सः १/१
31046	3460	2514					Sktdocs-3.1.46; AVG-3.1.46	श्लिष आलिङ्गने ।	श्लिषः ५/१ आलिङ्गने ७/१
31047	2032	2407					Sktdocs-3.1.47; AVG-3.1.47	न दृशः ।	न ०/० दृशः ५/१
31048	1582	2312					Sktdocs-3.1.48; AVG-3.1.48	णिश्रिद्रुस्रुभ्यः कर्तरि चङ् ।	णिश्रिद्रुस्रुभ्यः ५/३ कर्त्तरि ७/१ चङ् १/१
31049	3209	2375					Sktdocs-3.1.49; AVG-3.1.49	विभाषा धेट्श्व्योः ।	विभाषा १/१ धेट्श्व्योः ६/२
31050	1299	3404					Sktdocs-3.1.50; AVG-3.1.50	गुपेश्छन्दसि ।	गुपेः ५/१ छन्दसि ७/१
31051	2242	3405					Sktdocs-3.1.51; AVG-3.1.51	नोनयतिध्वनयत्येलयत्यर्दयतिभ्यः ।	न ०/० ऊनयतिध्वनयत्येलयत्यर्दयतिभ्यः ५/३
31052	445	2438					Sktdocs-3.1.52; AVG-3.1.52	अस्यतिवक्तिख्यातिभ्यः अङ् ।	अस्यतिवक्तिख्यातिभ्यः ५/३ अङ् १/१
31053	2999	2418					Sktdocs-3.1.53; AVG-3.1.53	लिपिसिचिह्वश्च ।	लिपिसिचिह्वः ५/१ च ०/०
31054	512	2419					Sktdocs-3.1.54; AVG-3.1.54	आत्मनेपदेष्वन्यतरस्याम् ।	आत्मनेपदेषु ७/३ अन्यतरस्याम् ०/०
31055	2400	2343					Sktdocs-3.1.55; AVG-3.1.55	पुषादिद्युताद्यॢदितः परस्मैपदेषु ।	पुषादिद्युताद्य्-ऌदितः ५/१ परस्मैपदेषु ७/३
31056	3672	2382					Sktdocs-3.1.56; AVG-3.1.56	सर्त्तिशास्त्यर्तिभ्यश्च ।	सर्त्तिशास्त्यर्तिभ्यः ५/३ च ०/०
31057	662	2269					Sktdocs-3.1.57; AVG-3.1.57	इरितो वा ।	इरितः ५/१ वा ०/०
31058	1526	2291					Sktdocs-3.1.58; AVG-3.1.58	जृस्तम्भुम्रुचुम्लुचुग्रुचुग्लुचुग्लुञ्चुश्विभ्यश्च ।	जॄस्तम्भुम्रुचुम्लुचुग्रुचुग्लुचुग्लुञ्चुश्विभ्यः ५/३ च ०/०
31059	1157	3406					Sktdocs-3.1.59; AVG-3.1.59	कृमृदृरुहिभ्यश्छन्दसि ।	कृमृदृरुहिभ्यः ५/३ छन्दसि ७/१
31060	1413	2513					Sktdocs-3.1.60; AVG-3.1.60	चिण् ते पदः ।	चिण् १/१ ते ७/१ पदः ५/१
31061	1877	2328					Sktdocs-3.1.61; AVG-3.1.61	दीपजनबुधपूरितायिप्यायिभ्योऽन्यतरस्याम् ।	दीपजनबुधपूरितायिप्यायिभ्यः ५/३ अन्यतरस्याम् ०/०
31062	43	2768					Sktdocs-3.1.62; AVG-3.1.62	अचः कर्मकर्तरि ।	अचः ५/१ कर्मकर्त्तरि ७/१
31063	1894	2769					Sktdocs-3.1.63; AVG-3.1.63	दुहश्च ।	दुहः ५/१ च ०/०
31064	2060	2770					Sktdocs-3.1.64; AVG-3.1.64	न रुधः ।	न ०/० रुधः ५/१
31065	1667	2760					Sktdocs-3.1.65; AVG-3.1.65	तपोऽनुतापे च ।	तपः ५/१ अनुतापे ७/१ च ०/०
31066	1414	2758					Sktdocs-3.1.66; AVG-3.1.66	चिण् भावकर्मणोः ।	चिण् १/१ भावकर्मणोः ७/२
31067	3724	2756					Sktdocs-3.1.67; AVG-3.1.67	सार्वधातुके यक् ।	सार्वधातुके ७/१ यक् १/१
31068	995	2167					Sktdocs-3.1.68; AVG-3.1.68	कर्तरि शप्‌ ।	कर्त्तरि ७/१ शप् १/१
31069	1868	2505					Sktdocs-3.1.69; AVG-3.1.69	दिवादिभ्यः श्यन् ।	दिवादिभ्यः ५/३ श्यन् १/१
31070	3116	2321					Sktdocs-3.1.70; AVG-3.1.70	वा भ्राशभ्लाशभ्रमुक्रमुक्लमुत्रसित्रुटिलषः ।	वा ०/० भ्राशभ्लाशभ्रमुक्रमुक्लमुत्रसित्रुटिलषः ५/१
31071	2844	2521					Sktdocs-3.1.71; AVG-3.1.71	यसोऽनुपसर्गात्‌ ।	यसः ५/१ अनुपसर्गात् ५/१
31072	3558	2522					Sktdocs-3.1.72; AVG-3.1.72	संयसश्च ।	संयसः ५/१ च ०/०
31073	3888	2523					Sktdocs-3.1.73; AVG-3.1.73	स्वादिभ्यः श्नुः ।	स्वादिभ्यः ५/३ श्नुः १/१
31074	3454	2386					Sktdocs-3.1.74; AVG-3.1.74	श्रुवः शृ च ।	श्रुवः ६/१ शृ (लुप्तप्रथमान्तनिर्देशः) च ०/०
31075	20	2338					Sktdocs-3.1.75; AVG-3.1.75	अक्षोऽन्यतरस्याम् ।	अक्षः ५/१ अन्यतरस्याम् ०/०
31076	1660	2339					Sktdocs-3.1.76; AVG-3.1.76	तनूकरणे तक्षः ।	तनूकरणे ७/१ तक्षः ५/१
31077	1747	2534					Sktdocs-3.1.77; AVG-3.1.77	तुदादिभ्यः शः ।	तुदादिभ्यः ५/३ शः १/१
31078	2947	2543					Sktdocs-3.1.78; AVG-3.1.78	रुधादिभ्यः श्नम् ।	रुधादिभ्यः ५/३ श्नम् १/१
31079	1657	2466					Sktdocs-3.1.79; AVG-3.1.79	तनादिकृञ्भ्य उः ।	तनादिकृञ्भ्यः ५/३ उः १/१
31080	2005	2332					Sktdocs-3.1.80; AVG-3.1.80	धिन्विकृण्व्योर च ।	धिन्विकृण्व्योः ६/२ अ (लुप्तप्रथमान्तनिर्देशः) च ०/०
31081	1217	2554					Sktdocs-3.1.81; AVG-3.1.81	क्र्यादिभ्यः श्ना ।	क्र्यादिभ्यः ५/३ श्ना (लुप्तप्रथमान्तनिर्देशः)
31082	3807	2555					Sktdocs-3.1.82; AVG-3.1.82	स्तम्भुस्तुम्भुस्कम्भुस्कुम्भुस्कुञ्भ्यः श्नुश्च ।	स्तम्भुस्तुम्भुस्कम्भुस्कुम्भुस्कुञ्भ्यः ५/३ श्नुः १/१ च ०/०
31083	3911	2557					Sktdocs-3.1.83; AVG-3.1.83	हलः श्नः शानज्झौ ।	हलः ५/१ श्नः ६/१ शानच् १/१ हौ ७/१
31084	1455	3432					Sktdocs-3.1.84; AVG-3.1.84	छन्दसि शायजपि ।	छन्दसि ७/१ शायच् १/१ अपि ०/०
31085	3322	3433					Sktdocs-3.1.85; AVG-3.1.85	व्यत्ययो बहुलम् ।	व्यत्ययः १/१ बहुलम् १/१
31086	2987	3434					Sktdocs-3.1.86; AVG-3.1.86	लिङ्याशिष्यङ् ।	लिङि ७/१ आशिषि ७/१ अङ् १/१
31087	1026	2766	अतिदेशः				Sktdocs-3.1.87; AVG-3.1.87	कर्मवत्‌ कर्मणा तुल्यक्रियः ।	कर्मवत् ०/० कर्मणा ३/१ तुल्यक्रियः १/१
31088	1666	2771					Sktdocs-3.1.88; AVG-3.1.88	तपस्तपःकर्मकस्यैव ।	तपः ६/१ तपःकर्मकस्य ६/१ एव ०/०
31089	2031	2767					Sktdocs-3.1.89; AVG-3.1.89	न दुहस्नुनमां यक्चिणौ ।	न ०/० दुहस्नुनमाम् ६/३ यक्चिणौ १/२
31090	1126	2772					Sktdocs-3.1.90; AVG-3.1.90	कुषिरजोः प्राचां श्यन् परस्मैपदं च ।	कुषिरजोः ६/२ प्राचाम् ६/३ श्यन् १/१ परस्मैपदम् १/१ च ०/०
31091	1996	2829	अधिकारः			31091-34117	Sktdocs-3.1.91; AVG-3.1.91	धातोः ।	धातोः ५/१
31092	1622	781	संज्ञा	उपपदम्‌			Sktdocs-3.1.92; AVG-3.1.92	तत्रोपपदं सप्तमीस्थम्‌ ।	तत्र ०/० उपपदम् १/१ सप्तमीस्थम् १/१
31093	1154	374	संज्ञा	कृत्‌			Sktdocs-3.1.93; AVG-3.1.93	कृदतिङ् ।	कृत् १/१ अतिङ् १/१
31094	3133	2830	परिभाषा				Sktdocs-3.1.94; AVG-3.1.94	वाऽसरूपोऽस्त्रियाम् ।	वा ०/० असरूपः १/१ अस्त्रियाम् ७/१
31095	1146	2831	संज्ञा	कृत्यः			Sktdocs-3.1.95; AVG-3.1.95	कृत्याः प्राङ् ण्वुलः ।	कृत्याः १/३ (? प्राङ् ण्वुलः १/१ )
31096	1678	2834					Sktdocs-3.1.96; AVG-3.1.96	तव्यत्तव्यानीयरः ।	तव्यत्तव्यानीयरः १/३
31097	55	2842					Sktdocs-3.1.97; AVG-3.1.97	अचो यत्‌ ।	अचः ५/१ यत् १/१
31098	2441	2844					Sktdocs-3.1.98; AVG-3.1.98	पोरदुपधात्‌ ।	पोः ५/१ अदुपधात् ५/१
31099	3347	2847					Sktdocs-3.1.99; AVG-3.1.99	शकिसहोश्च ।	शकिसहोः ६/२ च ०/०
31100	1268	2848					Sktdocs-3.1.100; AVG-3.1.100	गदमदचरयमश्चानुपसर्गे ।	गदमदचरयमः ५/१ च ०/० अनुपसर्गे ७/१
31101	379	2849					Sktdocs-3.1.101; AVG-3.1.101	अवद्यपण्यवर्या गर्ह्यपणितव्यानिरोधेषु ।	अवद्यपण्यवर्याः १/३ गर्ह्यपणितव्यानिरोधेषु ७/३
31102	3099	2850					Sktdocs-3.1.102; AVG-3.1.102	वह्यं करणम्‌ ।	वह्यम् १/१ करणम् १/१
31103	360	2851					Sktdocs-3.1.103; AVG-3.1.103	अर्यः स्वामिवैश्ययोः ।	अर्यः १/१ स्वामिवैश्ययोः ७/२
31104	796	2852					Sktdocs-3.1.104; AVG-3.1.104	उपसर्या काल्या प्रजने ।	उपसर्या १/१ काल्या १/१ प्रजने ७/१
31105	62	2853					Sktdocs-3.1.105; AVG-3.1.105	अजर्यं संगतम्‌ ।	अजर्यम् १/१ संगतम् १/१
31106	3053	2854					Sktdocs-3.1.106; AVG-3.1.106	वदः सुपि क्यप् च ।	वदः ५/१ सुपि ७/१ क्यप् १/१ च ०/०
31107	2688	2855					Sktdocs-3.1.107; AVG-3.1.107	भुवो भावे ।	भुवः ५/१ भावे ७/१
31108	3899	2856					Sktdocs-3.1.108; AVG-3.1.108	हनस्त च ।	हनः ६/१ त (लुप्तप्रथमान्तनिर्देशः) च ०/०
31109	913	2857					Sktdocs-3.1.109; AVG-3.1.109	एतिस्तुशस्वृदृजुषः क्यप्‌ ।	एतिस्तुशास्वृदृजुषः ५/१ क्यप् १/१
31110	866	2859					Sktdocs-3.1.110; AVG-3.1.110	ऋदुपधाच्चाकॢपिचृतेः ।	ऋदुपधात् ५/१ च ०/० अकॢपिचृतेः ५/१
31111	673	2860					Sktdocs-3.1.111; AVG-3.1.111	ई च खनः ।	ई (लुप्तप्रथमान्तनिर्देशः) च ०/० खनः ५/१
31112	2698	2861					Sktdocs-3.1.112; AVG-3.1.112	भृञोऽसंज्ञायाम् ।	भृञः ५/१ असंज्ञायाम् ७/१
31113	2793	2862					Sktdocs-3.1.113; AVG-3.1.113	मृजेर्विभाषा ।	मृजेः ५/१ विभाषा १/१
31114	2921	2865					Sktdocs-3.1.114; AVG-3.1.114	राजसूयसूर्यमृषोद्यरुच्यकुप्यकृष्टपच्याव्यथ्याः	राजसूयसूर्यमृषोद्यरुच्यकुप्यकृष्टपच्याव्यथ्याः १/३
31115	2671	2866					Sktdocs-3.1.115; AVG-3.1.115	भिद्योद्ध्यौ नदे ।	भिद्योद्ध्यौ १/२ नदे ७/१
31116	2402	2867					Sktdocs-3.1.116; AVG-3.1.116	पुष्यसिद्ध्यौ नक्षत्रे ।	पुष्यसिद्ध्यौ १/२ नक्षत्रे ७/१
31117	3176	2868					Sktdocs-3.1.117; AVG-3.1.117	विपूयविनीयजित्या मुञ्जकल्कहलिषु ।	विपूयविनीयजित्या १/३ मुञ्जकल्कहलिषु ७/३
31118	2475	2869					Sktdocs-3.1.118; AVG-3.1.118	प्रत्यपिभ्यां ग्रहेश्छन्दसि ।	प्रत्यपिभ्याम् ५/२ ग्रहेः ७/१ (छन्दसि ७/१)
31119	2290	2870					Sktdocs-3.1.119; AVG-3.1.119	पदास्वैरिबाह्यापक्ष्येषु च ।	पदास्वैरिबाह्यापक्ष्येषु ७/३ च ०/०
31120	3190	2871					Sktdocs-3.1.120; AVG-3.1.120	विभाषा कृवृषोः ।	विभाषा १/१ कृवृषोः ६/२
31121	2866	2873					Sktdocs-3.1.121; AVG-3.1.121	युग्यं च पत्त्रे ।	युग्यम् १/१ च ०/० पत्रे ७/१
31122	327	2874					Sktdocs-3.1.122; AVG-3.1.122	अमावस्यदन्यतरस्याम् ।	अमावस्यत् १/१ अन्यतरस्याम् ०/०
31123	1447	3407					Sktdocs-3.1.123; AVG-3.1.123	छन्दसि निष्टर्क्यदेवहूयप्रणीयोन्नीयोच्छिष्य	छन्दसि ७/१ निष्टर्क्यदेवहूयप्रणीयोन्नीयोच्छिष्यमर्यस्तर्याध्वर्यखन्यखान्यदेवयज्याऽऽपृच्छ्यप्रतिषीव्यब्रह्मवाद्यभाव्यस्ताव्योपचाय्यपृडानि १/३
31124	874	2872					Sktdocs-3.1.124; AVG-3.1.124	ऋहलोर्ण्यत्‌ ।	ऋहलोः ६/२ ण्यत् १/१
31125	942	2886					Sktdocs-3.1.125; AVG-3.1.125	ओरावश्यके ।	ओः ५/१ आवश्यके ७/१
31126	587	2887					Sktdocs-3.1.126; AVG-3.1.126	आसुयुवपिरपिलपित्रपिचमश्च ।	आसुयुवपिरपिलपित्रपिचमः ५/१ च ०/०
31127	538	2888					Sktdocs-3.1.127; AVG-3.1.127	आनाय्योऽनित्ये ।	आनाय्यः १/१ अनित्ये ७/१
31128	2459	2889					Sktdocs-3.1.128; AVG-3.1.128	प्रणाय्योऽसंमतौ ।	प्रणाय्यः १/१ असंमतौ ७/१
31129	2364	2890					Sktdocs-3.1.129; AVG-3.1.129	पाय्यसान्नाय्यनिकाय्यधाय्या मानहविर्निवाससामिधेनीषु ।	पाय्यसान्नाय्यनिकाय्यधाय्याः १/३ मानहविर्निवाससामिधेनीषु ७/३
31130	1200	2891					Sktdocs-3.1.130; AVG-3.1.130	क्रतौ कुण्डपाय्यसंचाय्यौ ।	क्रतौ ७/१ कुण्डपाय्यसंचाय्यौ १/२
31131	28	2892					Sktdocs-3.1.131; AVG-3.1.131	अग्नौ परिचाय्योपचाय्यसमूह्याः ।	अग्नौ ७/१ परिचाय्योपचाय्यसमूह्याः १/३
31132	1419	2893					Sktdocs-3.1.132; AVG-3.1.132	चित्याग्निचित्ये च ।	चित्याग्निचित्ये १/२ च ०/०
31133	1597	2895					Sktdocs-3.1.133; AVG-3.1.133	ण्वुल्तृचौ ।	ण्वुल्तृचौ १/२
31134	2110	2896					Sktdocs-3.1.134; AVG-3.1.134	नन्दिग्रहिपचादिभ्यो ल्युणिन्यचः ।	नन्दिग्रहिपचादिभ्यः ५/३ ल्युणिन्यचः १/३
31135	603	2897					Sktdocs-3.1.135; AVG-3.1.135	इगुपधज्ञाप्रीकिरः कः ।	इगुपधज्ञाप्रीकिरः ५/१ कः १/१
31136	499	2898					Sktdocs-3.1.136; AVG-3.1.136	आतश्चोपसर्गे ।	आतः ५/१ च ०/० उपसर्गे ७/१
31137	2346	2899					Sktdocs-3.1.137; AVG-3.1.137	पाघ्राध्माधेट्दृशः शः ।	पाघ्राध्माधेट्दृशः ५/१ शः १/१
31138	213	2900					Sktdocs-3.1.138; AVG-3.1.138	अनुपसर्गाल्लिम्पविन्दधारिपारिवेद्युदेजिचेतिसातिसाहिभ्यश्च ।	अनुपसर्गात् ५/१ लिम्पविन्दधारिपारिवेद्युदेजिचेतिसातिसाहिभ्यः ५/३ च ०/०
31139	1828	2901					Sktdocs-3.1.139; AVG-3.1.139	ददातिदधात्योर्विभाषा ।	ददातिदधात्योः ५/२ विभाषा १/१
31140	1539	2902					Sktdocs-3.1.140; AVG-3.1.140	ज्वलितिकसन्तेभ्यो णः ।	ज्वलितिकसन्तेभ्यः ५/३ णः १/१
31141	3444	2903					Sktdocs-3.1.141; AVG-3.1.141	श्याऽऽद्व्यधास्रुसंस्र्वतीणवसाऽवहृलिहश्लिषश्वसश्च ।	श्याऽऽद्‍व्यधास्रुसंस्र्वतीणवसाऽवहृलिहश्लिषश्वसः ५/१ च ०/०
31142	1890	2904					Sktdocs-3.1.142; AVG-3.1.142	दुन्योरनुपसर्गे ।	दुन्योः ६/२ अनुपसर्गे ७/१
31143	3193	2905					Sktdocs-3.1.143; AVG-3.1.143	विभाषा ग्रहेः ।	विभाषा १/१ ग्रहः ५/१
31144	1306	2906					Sktdocs-3.1.144; AVG-3.1.144	गेहे कः ।	गेहे ७/१ कः १/१
31145	3399	2907					Sktdocs-3.1.145; AVG-3.1.145	शिल्पिनि ष्वुन् ।	शिल्पिनि ७/१ ष्वुन् १/१
