Sutra krama:Akaaraadi krama:Kaumudi krama,Sutra,PadacCheda,Sutra krama
13007:1425:189,चुटू,चुटू,13007
13009:1701:62,तस्य लोपः,तस्य+लोपः,13009
13013:2660:2679,भावकर्म्मणोः,भावकर्म्मणोः,13013
13014:1004:2680,कर्त्तरि कर्म्मव्यतिहारे,कर्त्तरि+कर्म्मव्यतिहारे,13014
13015:2020:2681,न गतिहिंसार्थेभ्यः,न+गतिहिंसार्थेभ्यः,13015
13018:2320:2684,परिव्यवेभ्यः क्रियः,परिव्यवेभ्यः+क्रियः,13018
13022:3627:2689,समवप्रविभ्यः स्थः,समवप्रविभ्यः+स्थः,13022
13029:3656:2699,समो गम्यृच्छिप्रच्छिस्वरत्यर्तिश्रुविदिभ्यः,समः+गम्यृच्छि-प्रच्छि-स्वरत्यर्ति-श्रुविदिभ्यः,13029
13032:1270:2705,गन्धनावक्षेपणसेवनसाहसिक्यप्रतियत्नप्रकथनोपयोगेषु कृञः,गन्धनावक्षेपणसेवनसाहसिक्य-प्रतियत्नप्रकथनोपयोगेषु+कृञः,13032
13033:156:2706,अधेः प्रसहने,अधेः+प्रसहने,13033
13034:3299:2707,वेः शब्दकर्म्मणः,वेः+शब्दकर्म्मणः,13034
13036:3670:2709,सम्माननोत्सञ्जनाचार्यकरणज्ञानभृतिविगणनव्ययेषु नियः,सम्माननोत्सञ्जनाचार्यकरणज्ञानभृतिविगणनव्ययेषु+नियः,13036
13038:3280:2711,वृत्तिसर्गतायनेषु क्रमः,वृत्तिसर्गतायनेषु+क्रमः,13038
13039:764:2712,उपपराभ्याम्,उपपराभ्याम्,13039
13041:3298:2714,वेः पादविहरणे,वेः+पादविहरणे,13041
13044:286:2717,अपह्नवे ज्ञः,अपह्नवे+ज्ञः,13044
13047:2667:2720,भासनोपसम्भाषाज्ञानयत्नविमत्युपमन्त्रणेषु वदः,भासनोपसम्भाषाज्ञानयत्नविमत्युपमन्त्रणेषु+वदः,13047
13050:3223:2723,विभाषा विप्रलापे,विभाषा+विप्रलापे,13050
13052:3620:2725,समः प्रतिज्ञाने,समः+प्रतिज्ञाने,13052
13060:3356:2362,शदेः शितः,शदेः+शितः,13060
13062:2422:2734,पूर्ववत् सनः,पूर्ववत्+सनः,13062
13065:3619:2736,समः क्ष्णुवः,समः+क्ष्णुवः,13065
13069:1303:2739,गृधिवञ्च्योः प्रलम्भने,गृधिवञ्च्योः+प्रलम्भने,13069
13072:3876:2158,स्वरितञितः कर्त्रभिप्राये क्रियाफले,स्वरितञितः+कर्त्रभिप्राये+क्रियाफले,13072
13078:3428:2159,शेषात् कर्तरि परस्मैपदम्,शेषात्+कर्तरि+परस्मैपदम्,13078
13080:311:2746,अभिप्रत्यतिभ्यः क्षिपः,अभिप्रत्यतिभ्यः+क्षिपः,13080
13086:2626:2752,बुधयुधनशजनेङ्प्रुद्रुस्रुभ्यो णेः,बुधयुधनशजनेङ्-प्रुद्रुस्रुभ्यः+णेः,13086
13089:2042:2755,न पादम्याङ्यमाङ्यसपरिमुहरुचिनृतिवदवसः,न+पादम्याङ्यमाङ्यसपरिमुहरुचिनृतिवदवसः,13089
13090:3100:2669,वा क्यषः,वा+क्यषः,13090
13093:3011:2351,लुटि च कॢपः,लुटि+च+कॢपः,13093
14003:2880:266,यू स्त्र्याख्यौ नदी,यू+स्त्र्याख्यौ+नदी,14003
14006:1373:293,ङिति ह्रस्वश्च,ङिति+ह्रस्वश्+च,14006
14011:3562:32,संयोगे गुरु,संयोगे+गुरु,14011
14015:2082:2651,नः क्ये,नः+क्ये,14015
14016:3734:2252,सिति च,सिति+च,14016
14018:2810:231,यचि भम्,यचि+भम्,14018
14019:1682:1896,तसौ मत्वर्थे,तसौ+मत्वर्थे,14019
14021:2608:187,बहुषु बहुवचनम्,बहुषु+बहुवचनम्,14021
14022:1985:186,द्व्येकयोर्द्विवचनैकवचने,द्व्-येकयोः+द्विवचनैकवचने,14022
14023:1053:534,कारके,कारके,14023
14030:1484:593,जनिकर्तुः प्रकृतिः,जनिकर्तुः+प्रकृतिः,14030
14031:2683:594,भुवः प्रभवः,भुवः+प्रभवः,14031
14043:1865:562,दिवः कर्म च,दिवः+कर्म+च,14043
14048:805:544,उपान्वध्याङ्वसः,उपान्वध्याङ्वसः,14048
14054:3864:559,स्वतन्त्रः कर्ता,स्वतन्त्रः+कर्ता,14054
14058:2541:21,प्रादयः,प्रादयः,14058
14059:780:22,उपसर्गाः क्रियायोगे,उपसर्गाः+क्रियायोगे,14059
14063:517:764,आदरानादरयोः सदसती,आदरानादरयोः+सदसती,14063
14066:963:767,कणेमनसी श्रद्धाप्रतीघाते,कणेमनसी+श्रद्धाप्रतीघाते,14066
14069:61:770,अच्छ गत्यर्थवदेषु,अच्छ+गत्यर्थवदेषु,14069
14072:3188:773,विभाषा कृञि,विभाषा+कृञि,14072
14073:798:774,उपाजेऽन्वाजे,उपाजेऽन्वाजे,14073
14074:3711:775,साक्षात्प्रभृतीनि च,साक्षात्प्रभृतीनि+च,14074
14076:2731:777,मध्येपदेनिवचने च,मध्ये,14076
14080:1780:2230,ते प्राग्धातोः,ते+प्राग्+धातोः,14080
14083:1025:546,कर्मप्रवचनीयाः,कर्मप्रवचनीयाः,14083
14085:1772:549,तृतीयाऽर्थे,तृतीयाऽर्थे,14085
14086:3943:550,हीने,हीने,14086
14088:277:596,अपपरी वर्जने,अपपरी+वर्जने,14088
14089:483:597,आङ् मर्यादावचने,आङ्+मर्यादावचने,14089
14090:2966:552,लक्षणेत्थम्भूताख्यानभागवीप्सासु प्रतिपर्यनवः,लक्षणेत्थम्भूताख्यानभागवीप्सासु+प्रतिपर्यनवः,14090
14092:2461:599,प्रतिः प्रतिनिधिप्रतिदानयोः,प्रतिः+प्रतिनिधिप्रतिदानयोः,14092
14093:150:554,अधिपरी अनर्थकौ,अधिपरी+अनर्थकौ,14093
14094:3743:555,सुः पूजायाम्,सुः+पूजायाम्,14094
14096:293:557,अपिः पदार्थसम्भावनान्ववसर्गगर्हासमुच्चयेषु,अपिः+पदार्थसम्भावनान्ववसर्गगर्हासमुच्चयेषु,14096
14098:3189:646,विभाषा कृञि,विभाषा+कृञि,14098
14099:2963:2155,लः परस्मैपदम्,लः+परस्मैपदम्,14099
14103:3758:185,सुपः,सुपः,14103
14108:3431:2165,शेषे प्रथमः,शेषे+प्रथमः,14108
21001:3625:647,समर्थः पदविधिः,समर्थः+पदविधिः,21001
21003:2518:648,प्राक् कडारात्‌ समासः,प्राक्+कडारात्‌+समासः,21003
21004:3698:649,सह सुपा,सह+सुपा,21004
21005:404:651,अव्ययीभावः,अव्ययीभावः,21005
21006:400:652,अव्ययं विभक्तिसमीपसमृद्धिव्यृद्ध्यर्थाभावात्ययासम्प्रतिशब्दप्रादुर्भावपश्चाद्यथाऽऽनुपूर्व्ययौगपद्यसादृश्यसम्पत्तिसाकल्यान्तवचनेषु,अव्ययम्+विभक्तिसमीपसमृद्धि-व्यृद्‍ध्यर्थाभावात्ययासम्प्रति-शब्दप्रादुर्भावपश्चाद्यथाऽऽनुपूर्व्ययौगपद्यसादृश्य-सम्पत्तिसाकल्यान्तवचनेषु,21006
21009:3764:663,सुप्प्रतिना मात्राऽर्थे,सुप्+प्रतिना+मात्राऽर्थे,21009
21010:18:664,अक्षशलाकासंख्याः परिणा,अक्षशलाकासंख्याः+परिणा,21010
21011:3182:665,विभाषा,विभाषा,21011
21012:276:666,अपपरिबहिरञ्चवः पञ्चम्या,अपपरिबहिरञ्चवः+पञ्चम्या,21012
21013:482:667,आङ् मर्यादाऽभिविध्योः,आङ्+मर्यादाऽभिविध्योः,21013
21017:1739:671,तिष्ठद्गुप्रभृतीनि च,तिष्ठद्गुप्रभृतीनि+च,21017
21018:2368:672,पारे मध्ये षष्ठ्या वा,पारे,21018
21019:3508:673,संख्या वंश्येन,संख्या+वंश्येन,21019
21022:1601:684,तत्पुरुषः,तत्पुरुषः,21022
21024:1954:686,द्वितीया श्रितातीतपतितगतात्यस्तप्राप्तापन्नैः,द्वितीया+श्रितातीतपतितगतात्यस्तप्राप्तापन्नैः,21024
21026:1247:688,खट्वा क्षेपे,खट्वा+क्षेपे,21026
21027:3720:689,सामि,सामि,21027
21028:1062:690,कालाः,कालाः,21028
21029:120:691,अत्यन्तसंयोगे च,अत्यन्तसंयोगे+च,21029
21031:2424:693,पूर्वसदृशसमोनार्थकलहनिपुणमिश्रश्लक्ष्णैः,पूर्वसदृशसमोनार्थकलहनिपुणमिश्रश्लक्ष्णैः,21031
21036:1389:698,चतुर्थी तदर्थार्थबलिहितसुखरक्षितैः,चतुर्थी+तदर्थार्थबलिहितसुखरक्षितैः,21036
21037:2260:699,पञ्चमी भयेन,पञ्चमी+भयेन,21037
21039:3813:701,स्तोकान्तिकदूरार्थकृच्छ्राणि क्तेन,स्तोकान्तिकदूरार्थकृच्छ्राणि+क्तेन,21039
21040:3606:717,सप्तमी शौण्डैः,सप्तमी+शौण्डैः,21040
21042:2011:719,ध्वाङ्क्षेण क्षेपे,ध्वाङ्-क्षेण+क्षेपे,21042
21044:3546:721,संज्ञायाम्‌,संज्ञायाम्,21044
21046:1611:723,तत्र,तत्र,21046
21047:1240:724,क्षेपे,क्षेपे,21047
21049:2417:726,पूर्वकालैकसर्वजरत्पुराणनवकेवलाः समानाधिकरणेन,पूर्वकालैकसर्वजरत्पुराणनवकेवलाः+समानाधिकरणेन,21049
21050:1859:727,दिक्संख्ये संज्ञायाम्‌,दिक्सङ्-ख्ये+संज्ञायाम्,21050
21051:1651:728,तद्धितार्थोत्तरपदसमाहारे च,तद्धितार्थोत्तरपदसमाहारे+च,21051
21053:1104:731,कुत्सितानि कुत्सनैः,कुत्सितानि+कुत्सनैः,21053
21054:2363:732,पापाणके कुत्सितैः,पापाणके+कुत्सितैः,21054
21055:769:733,उपमानानि सामान्यवचनैः,उपमानानि+सामान्यवचनैः,21055
21059:3456:737,श्रेण्यादयः कृतादिभिः,श्रेण्यादयः+कृतादिभिः,21059
21061:3597:739,सन्महत्परमोत्तमोत्कृष्टाः पूज्यमानैः,सन्महत्परमोत्तमोत्कृष्टाः+पूज्यमानैः,21061
21063:968:741,कतरकतमौ जातिपरिप्रश्ने,कतरकतमौ+जातिपरिप्रश्ने,21063
21065:2440:743,पोटायुवतिस्तोककतिपयगृष्टिधेनुवशावेहत्बष्कयणीप्रवक्तॄश्रोत्रियाध्यापकधूर्तैर्जातिः,पोटायुवतिस्तोककतिपयगृष्टिधेनुवशावेहद्वष्कयणीप्रवक्तॄ-श्रोत्रियाध्यापकधूर्तैः+जातिः,21065
21067:2869:748,युवा खलतिपलितवलिनजरतीभिः,युवा+खलतिपलितवलिनजरतीभिः,21067
21070:1109:751,कुमारः श्रमणाऽऽदिभिः,कुमारः+श्रमणाऽऽदिभिः,21070
22004:2545:715,प्राप्तापन्ने च द्वितीयया,प्राप्तापन्ने+च+द्वितीयया,22004
22005:1063:716,कालाः परिमाणिना,कालाः+परिमाणिना,22005
22006:2095:756,नञ्‌,नञ्,22006
22008:3483:702,षष्ठी,षष्ठी,22008
22010:2037:704,न निर्धारणे,न+निर्धारणे,22010
22011:2412:705,पूरणगुणसुहितार्थसदव्ययतव्यसमानाधिकरणेन,पूरणगुणसुहितार्थसदव्ययतव्यसमानाधिकरणेन,22011
22013:144:707,अधिकरणवाचिना च,अधिकरणवाचिना+च,22013
22014:1030:708,कर्म्मणि च,कर्म्मणि+च,22014
22016:1005:710,कर्त्तरि च,कर्त्तरि+च,22016
22018:1099:761,कुगतिप्रादयः,कुगतिप्रादयः,22018
22022:1188:785,क्त्वा च,क्त्वा+च,22022
22026:1861:845,दिङ्नामान्यन्तराले,दिङ्-नामानि+अन्तराले,22026
22033:66:904,अजाद्यदन्तम्‌,अजाद्यदन्तम्,22033
22034:372:905,अल्पाच्तरम्‌,अल्पाच्तरम्,22034
22035:3609:898,सप्तमीविशेषणे बहुव्रीहौ,सप्तमीविशेषणे+बहुव्रीहौ,22035
22036:2205:899,निष्ठा,निष्ठा,22036
22038:962:751,कडाराः कर्मधराये,कडाराः+कर्मधराये,22038
23001:177:536,अनभिहिते,अनभिहिते,23001
23002:1013:537,कर्मणि द्वितीया,कर्मणि+द्वितीया,23002
23004:243:545,अन्तराऽन्तरेण युक्ते,अन्तराऽन्तरेणयुक्ते,23004
23006:283:563,अपवर्गे तृतीया,अपवर्गे+तृतीया,23006
23007:3608:643,सप्तमीपञ्चम्यौ कारकमध्ये,सप्तमीपञ्चम्यौ+कारकमध्ये,23007
23008:1024:548,कर्मप्रवचनीययुक्ते द्वितीया,कर्मप्रवचनीययुक्ते+द्वितीया,23008
23010:2259:598,पञ्चमी अपाङ्परिभिः,पञ्चमी+अपाङ्-परिभिः,23010
23013:1391:570,चतुर्थी सम्प्रदाने,चतुर्थी+सम्प्रदाने,23013
23014:1207:581,क्रियार्थोपपदस्य च कर्मणि स्थानिनः,क्रियार्थोपपदस्य+च+कर्मणि+स्थानिनः,23014
23021:636:566,इत्थंभूतलक्षणे,इत्थंभूतलक्षणे,23021
23023:3957:568,हेतौ,हेतौ,23023
23026:3488:607,षष्ठी हेतुप्रयोगे,षष्ठी+हेतुप्रयोगे,23026
23028:290:587,अपादाने पञ्चमी,अपादाने+पञ्चमी,23028
23029:261:595,अन्यारादितरर्त्तेदिक्‌शब्दाञ्चूत्तरपदाजाहियुक्ते,अन्यारादितरर्त्तेदिक्‌शब्दाञ्चूत्तरपदाजाहियुक्ते,23029
23031:918:610,एनपा द्वितीया,एनपा+द्वितीया,23031
23042:2261:639,पञ्चमी विभक्ते,पञ्चमी+विभक्ते,23042
23045:2085:642,नक्षत्रे च लुपि,नक्षत्रे+च+लुपि,23045
23046:2540:532,प्रातिपदिकार्थलिङ्गपरिमाणवचनमात्रे प्रथमा,प्रातिपदिकार्थलिङ्गपरिमाणवचनमात्रे+प्रथमा,23046
23047:3666:533,सम्बोधने च,सम्बोधने+च,23047
23050:3486:606,षष्ठी शेषे,षष्ठी+शेषे,23050
23053:1135:614,कृञः प्रतियत्ने,कृञः+प्रतियत्ने,23053
23055:581:616,आशिषि नाथः,आशिषि+नाथः,23055
23057:3327:618,व्यवहृपणोः समर्थयोः,व्यवहृपणोः+समर्थयोः,23057
23060:1953:3395,द्वितीया ब्राह्मणे,द्वितीया+ब्राह्मणे,23060
23065:1001:623,कर्तृकर्मणोः कृति,कर्तृकर्मणोः+कृति,23065
23066:811:624,उभयप्राप्तौ कर्मणि,उभयप्राप्तौ+कर्मणि,23066
24008:1233:912,क्षुद्रजन्तवः,क्षुद्रजन्तवः,24008
24011:1281:915,गवाश्वप्रभृतीनि च,गवाश्वप्रभृतीनि+च,24011
24014:2030:918,न दधिपयआदीनि,न+दधिपयआदीनि,24014
24015:148:919,अधिकरणैतावत्त्वे च,अधिकरणैतावत्त्वे+च,24015
24016:3231:920,विभाषा समीपे,विभाषा+समीपे,24016
24022:1473:825,छाया बाहुल्ये,छाया+बाहुल्ये,24022
24023:3616:826,सभा राजाऽमनुष्यपूर्वा,सभा+राजाऽमनुष्यपूर्वा,24023
24024:414:827,अशाला च,अशाला+च,24024
24029:2927:814,रात्राह्नाहाः पुंसि,रात्राह्नाहाः+पुंसि,24029
24031:355:816,अर्धर्चाः पुंसि च,अर्धर्चाः+पुंसि+च,24031
24035:566:2632,आर्द्धधातुके,आर्द्धधातुके,24035
24043:3006:2434,लुङि च,लुङि+च,24043
24047:3592:2615,सनि च,सनि+च,24047
24050:3221:2460,विभाषा लुङ्लृङोः,विभाषा+लुङ्लृङोः,24050
24051:1590:2571,णौ च सँश्चङोः,णौ+च+सँश्चङोः,24051
24055:3118:2437,वा लिटि,वा+लिटि,24055
24057:3117:3292,वा यौ,वा+यौ,24057
24061:2028:1086,न तौल्वलिभ्यः,न+तौल्वलिभ्यः,24061
24066:2611:1148,बह्वचः इञः प्राच्यभरतेषु,बह्वचः+इञः+प्राच्यभरतेषु,24066
24067:2022:1149,न गोपवनादिभ्यः,न+गोपवनादिभ्यः,24067
24072:132:2423,अदिप्रभृतिभ्यः शपः,अदिप्रभृतिभ्यः+शपः,24072
24075:1525:2489,जुहोत्यादिभ्यः श्लुः,जुहोत्यादिभ्यः+श्लुः,24075
24077:1288:2223,गातिस्थाघुपाभूभ्यः सिचः परस्मैपदेषु,गातिस्थाघुपाभूभ्यः+सिचः+परस्मैपदेषु,24077
24078:3194:2376,विभाषा घ्राधेट्शाच्छासः,विभाषा+घ्राधेट्-शाच्छासः,24078
24081:550:2238,आमः,आमः,24081
24085:3010:2188,लुटः प्रथमस्य डारौरसः,लुटः+प्रथमस्य+डारौरसः,24085
31001:2477:180,प्रत्ययः,प्रत्ययः,31001
31004:191:3709,अनुदत्तौ सुप्पितौ,अनुदत्तौ+सुप्पितौ,31004
31008:3757:2657,सुप आत्मनः क्यच्,सुप+आत्मनः+क्यच्,31008
31009:1051:2663,काम्यच्च,काम्यच्+च,31009
31014:1041:2670,कष्टाय क्रमणे,कष्टाय+क्रमणे,31014
31017:3360:2673,शब्दवैरकलहाभ्रकण्वमेघेभ्यः करणे,शब्दवैरकलहाभ्रकण्वमेघेभ्यः+करणे,31017
31018:3747:2674,सुखादिभ्यः कर्तृवेदनायाम्,सुखादिभ्यः+कर्तृ+वेदनायाम्,31018
31019:2123:2675,नमोवरिवश्चित्रङः क्यच्,नमोवरिवश्चित्रङः+क्यच्,31019
31026:3954:2576,हेतुमति च,हेतुमति+च,31026
31033:3856:2186,स्यतासी लृलुटोः,स्यतासी+लृलुटोः,31033
31041:3162:2465,विदाङ्कुर्वन्त्वित्यन्यतरस्याम्,विदाङ्-कुर्वन्तु+इति+अन्यतरस्याम्,31041
31043:1434:2221,च्लि लुङि,च्लि+लुङि,31043
31044:1435:2222,च्लेः सिच्,च्लेः+सिच्,31044
31047:2032:2407,न दृशः,न+दृशः,31047
31049:3209:2375,विभाषा धेट्श्व्योः,विभाषा+धेट्श्व्योः,31049
31052:445:2438,अस्यतिवक्तिख्यातिभ्यः अङ्,अस्यतिवक्तिख्यातिभ्यः+अङ्,31052
31055:2400:2343,पुषादिद्युताद्यॢदितः परस्मैपदेषु,पुषादिद्युताद्य्-ऌदितः+परस्मैपदेषु,31055
31060:1413:2513,चिण् ते पदः,चिण्+ते+पदः,31060
31064:2060:2770,न रुधः,न+रुधः,31064
31066:1414:2758,चिण् भावकर्मणोः,चिण्+भावकर्मणोः,31066
31067:3724:2756,सार्वधातुके यक्,सार्वधातुके+यक्,31067
31069:1868:2505,दिवादिभ्यः श्यन्,दिवादिभ्यः+श्यन्,31069
31070:3116:2321,वा भ्राशभ्लाशभ्रमुक्रमुक्लमुत्रसित्रुटिलषः,वा+भ्राशभ्लाशभ्रमुक्रमुक्लमुत्रसित्रुटिलषः,31070
31073:3888:2523,स्वादिभ्यः श्नुः,स्वादिभ्यः+श्नुः,31073
31074:3454:2386,श्रुवः शृ च,श्रुवः+शृ+च,31074
31076:1660:2339,तनूकरणे तक्षः,तनूकरणे+तक्षः,31076
31077:1747:2534,तुदादिभ्यः शः,तुदादिभ्यः+शः,31077
31078:2947:2543,रुधादिभ्यः श्नम्,रुधादिभ्यः+श्नम्,31078
31081:1217:2554,क्र्यादिभ्यः श्ना,क्र्यादिभ्यः+श्ना,31081
31091:1996:2829,धातोः,धातोः,31091
31095:1146:2831,कृत्याः प्राङ् ण्वुलः,कृत्याः+प्राङ्+ण्वुलः,31095
31096:1678:2834,तव्यत्तव्यानीयरः,तव्यत्तव्यानीयरः,31096
31103:360:2851,अर्यः स्वामिवैश्ययोः,अर्यः+स्वामिवैश्ययोः,31103
31104:796:2852,उपसर्या काल्या प्रजने,उपसर्या+काल्या+प्रजने,31104
31106:3053:2854,वदः सुपि क्यप् च,वदः+सुपि+क्यप्+च,31106
31111:673:2860,ई च खनः,ई+च+खनः,31111
31114:2921:2865,राजसूयसूर्यमृषोद्यरुच्यकुप्यकृष्टपच्याव्यथ्याः,राजसूयसूर्यमृषोद्यरुच्यकुप्यकृष्टपच्याव्यथ्याः,31114
31115:2671:2866,भिद्योद्ध्यौ नदे,भिद्योद्ध्यौ+नदे,31115
31116:2402:2867,पुष्यसिद्ध्यौ नक्षत्रे,पुष्यसिद्ध्यौ+नक्षत्रे,31116
31117:3176:2868,विपूयविनीयजित्या मुञ्जकल्कहलिषु,विपूयविनीयजित्या+मुञ्जकल्कहलिषु,31117
31119:2290:2870,पदास्वैरिबाह्यापक्ष्येषु च,पदास्वैरिबाह्यापक्ष्येषु+च,31119
31120:3190:2871,विभाषा कृवृषोः,विभाषा+कृवृषोः,31120
31130:1200:2891,क्रतौ कुण्डपाय्यसंचाय्यौ,क्रतौ+कुण्डपाय्यसंचाय्यौ,31130
31131:28:2892,अग्नौ परिचाय्योपचाय्यसमूह्याः,अग्नौ+परिचाय्योपचाय्यसमूह्याः,31131
31132:1419:2893,चित्याग्निचित्ये च,चित्याग्निचित्ये+च,31132
31133:1597:2895,ण्वुल्तृचौ,ण्वुल्तृचौ,31133
31135:603:2897,इगुपधज्ञाप्रीकिरः कः,इगुपधज्ञाप्रीकिरः+कः,31135
31137:2346:2899,पाघ्राध्माधेट्दृशः शः,पाघ्राध्माधेट्दृशः+शः,31137
31144:1306:2906,गेहे कः,गेहे+कः,31144
31145:3399:2907,शिल्पिनि ष्वुन्,शिल्पिनि+ष्वुन्,31145
31147:1596:2909,ण्युट् च,ण्युट्+च,31147
31149:2553:2911,प्रुसृल्वः समभिहारे वुन्,प्रुसृल्वः+समभिहारे+वुन्,31149
31150:580:2912,आशिषि च,आशिषि+च,31150
32004:3761:2916,सुपि स्थः,सुपि+स्थः,32004
32005:1748:2919,तुन्दशोकयोः परिमृजापनुदोः,तुन्दशोकयोः+परिमृजापनुदोः,32005
32006:2554:2920,प्रे दाज्ञः,प्रे+दाज्ञः,32006
32007:3646:2921,समि ख्यः,समि+ख्यः,32007
32010:3061:2924,वयसि च,वयसि+च,32010
32011:475:2925,आङि ताच्छील्ये,आङि+ताच्छील्ये,32011
32012:363:2926,अर्हः,अर्हः,32012
32013:3803:2927,स्तम्बकर्णयोः रमिजपोः,स्तम्बकर्णयोः+रमिजपोः,32013
32014:3362:2928,शमि धातोः संज्ञायाम्,शमि+धातोः+संज्ञायाम्,32014
32015:147:2929,अधिकरणे शेतेः,अधिकरणे+शेतेः,32015
