Sutra krama:Akaaraadi krama:Kaumudi krama,Sutra,PadacCheda,Sutra krama
12038:1913:3667,देवब्रह्मणोरनुदात्तः,देवब्रह्मणोः+अनुदात्तः,12038
12039:3878:3668,स्वरितात् संहितायामनुदात्तानाम्,स्वरितात्+संहितायाम्+अनुदात्तानाम्,12039
12040:734:3669,उदात्तस्वरितपरस्य सन्नतरः,उदात्तस्वरितपरस्य+सन्नतरः,12040
12041:295:251,अपृक्त एकाल् प्रत्ययः,अपृक्तः+एकाल्+प्रत्ययः,12041
12042:1602:745,तत्पुरुषः समानाधिकरणः कर्मधारयः,तत्पुरुषः+समानाधिकरणः+कर्मधारयः,12042
12043:2486:653,प्रथमानिर्दिष्टं समास उपसर्जनम्,प्रथमानिर्दिष्टम्+समासे+उपसर्जनम्,12043
12044:883:655,एकविभक्ति चापूर्वनिपाते,एकविभक्ति+च+आपूर्वनिपाते,12044
12045:350:178,अर्थवदधातुरप्रत्ययः प्रातिपदिकम्,अर्थवत्+अधातुः+अप्रत्ययः+प्रातिपदिकम्,12045
12046:1142:179,कृत्तद्धितसमासाश्च,कृत्तद्धितसमासाः+च,12046
12047:3978:318,ह्रस्वो नपुंसके प्रातिपदिकस्य,ह्रस्वः+नपुंसके+प्रातिपदिकस्य,12047
12048:1333:656,गोस्त्रियोरुपसर्ज्जनस्य,गोस्त्रियोः+उपसर्जनस्य,12048
12049:3003:1408,लुक् तद्धितलुकि,लुक्+तद्धितलुकि,12049
12051:3013:1294,लुपि युक्तवद्व्यक्तिवचने,लुपि+युक्तवत्+व्यक्तिवचने,12051
12052:3266:1300,विशेषणानां चाजातेः,विशेषणानाम्+च+आ+जातेः,12052
12053:1629:1295,तदशिष्यं संज्ञाप्रमाणत्वात्,तत्+अशिष्यम्+संज्ञाप्रमाणत्वात्,12053
12054:3016:1296,लुब्योगाप्रख्यानात्,लुप्+योगाप्रख्यानात्,12054
12055:2894:1297,योगप्रमाणे च तदभावेऽदर्शनं स्यात्,योगप्रमाणे+च+तदभावे+अदर्शनम्+स्यात्,12055
12056:2489:1298,प्रधानप्रत्ययार्थवचनमर्थस्यान्यप्रमाणत्वात्,प्रधानप्रत्ययार्थवचनम्+अर्थस्य+अन्यप्रमाणत्वात्,12056
12057:1071:1299,कालोपसर्जने च तुल्यम्,कालोपसर्जने+च+तुल्यम्,12057
12058:1508:817,जात्याख्यायामेकस्मिन् बहुवचनमन्यतरस्याम्,जात्याख्यायाम्+एकस्मिन्+बहुवचनम्+अन्यतरस्याम्,12058
12059:440:818,अस्मदो द्वायोश्च,अस्मदः+द्वायोः+च,12059
12060:2573:819,फल्गुनीप्रोष्ठपदानां च नक्षत्रे,फल्गुनीप्रोष्ठपदानाम्+च+नक्षत्रे,12060
12061:1450:3387,छन्दसि पुनर्वस्वोरेकवचनम्,छन्दसि+पुनर्वस्वोः+एकवचनम्,12061
12063:1740:820,तिष्यपुनर्वस्वोर्नक्षत्रद्वंद्वे बहुवचनस्य,तिष्यपुनर्वस्वोः+नक्षत्रद्वंद्वे+बहुवचनस्य+द्विवचनम्+नित्यम्,12063
12064:3671:188,सरूपाणामेकशेष एकविभक्तौ,सरूपाणाम्+एकशेषः+एकविभक्तौ,12064
12065:3292:931,वृद्धो यूना तल्लक्षणश्चेदेव विशेषः,वृद्धः+यूना+तल्लक्षणः+चेत्+एव+विशेषः,12065
12066:3823:932,स्त्री पुंवच्च,स्त्री+पुंवत्+च,12066
12067:2389:933,पुमान् स्त्रिया,पुमान्+स्त्रिया,12067
12068:2709:934,भ्रातृपुत्रौ स्वसृदुहितृभ्याम्,भ्रातृपुत्रौ+स्वसृदुहितृभ्याम्,12068
12069:2114:935,नपुंसकमनपुंसकेनैकवच्चास्यान्यतरस्याम्,नपुंसकम्+अनपुंसकेन+एकवत्+च+अस्य+अन्यतरस्याम्,12069
12070:2372:936,पिता मात्रा,पिता+मात्रा,12070
12071:3465:937,श्वशुरः श्वश्र्वा,श्वशुरः+श्वश्र्वा,12071
12072:1800:938,त्यदादीनि सर्वैर्नित्यम्,त्यदादीनि+सर्वौः+नित्यम्,12072
12073:1348:939,ग्राम्यपशुसंघेषु अतरुणेषु स्त्री,ग्राम्यपशुसंघेषु+अतरुणेषु+स्त्री,12073
13002:759:3,उपदेशेऽजनुनासिक इत्,उपदेशे+अच्+अनुनासिकः+इत्,13002
13003:3914:1,हलन्त्यम्,हल्+अन्त्यम्+अन्ते+दिगादित्वात्+यत्,13003
13004:2067:190,न विभक्तौ तुस्माः,न+विभक्तौ+तुस्माः,13004
13006:3470:474,षः प्रत्ययस्य,षः+प्रत्ययस्य,13006
13007:1425:189,चुटू,चुटू,13007
13009:1701:62,तस्य लोपः,तस्य+लोपः,13009
13010:2832:128,यथासंख्यमनुदेशः समानाम्,यथासंख्यम्+अनुदेशः+समानाम्,13010
13012:196:2157,अनुदात्तङित आत्मनेपदम्,अनुदात्तङितः+आत्मनेपदम्,13012
13013:2660:2679,भावकर्म्मणोः,भावकर्म्मणोः,13013
13014:1004:2680,कर्त्तरि कर्म्मव्यतिहारे,कर्त्तरि+कर्म्मव्यतिहारे,13014
13015:2020:2681,न गतिहिंसार्थेभ्यः,न+गतिहिंसार्थेभ्यः,13015
13016:630:2682,इतरेतरान्योन्योपपदाच्च,इतरेतरान्योन्योपपदात्+च,13016
13018:2320:2684,परिव्यवेभ्यः क्रियः,परिव्यवेभ्यः+क्रियः,13018
13019:3175:2685,विपराभ्यां जेः,विपराभ्याम्+जेः,13019
13020:477:2686,आङो दोऽनास्यविहरणे,आङः+दः+अनास्यविहरणे,13020
13021:1210:2687,क्रीडोऽनुसम्परिभ्यश्च,क्रीडः+अनुसम्परिभ्यः+च,13021
13022:3627:2689,समवप्रविभ्यः स्थः,समवप्रविभ्यः+स्थः,13022
13023:2447:2690,प्रकाशनस्थेयाख्ययोश्च,प्रकाशनस्थेयाख्ययोः+च,13023
13024:747:2691,उदोऽनूर्द्ध्वकर्मणि,उदः+अनूर्ध्वकर्मणि,13024
13025:804:2692,उपान्मन्त्रकरणे,उपात्+मन्त्रकरणे,13025
13026:10:2693,अकर्मकाच्च,अकर्मकात्+च,13026
13027:751:2694,उद्विभ्यां तपः,उद्विभ्याम्+तपः,13027
13029:3656:2699,समो गम्यृच्छिप्रच्छिस्वरत्यर्तिश्रुविदिभ्यः,समः+गम्यृच्छि-प्रच्छि-स्वरत्यर्ति-श्रुविदिभ्यः,13029
13030:2214:2703,निसमुपविभ्यो ह्वः,निसमुपविभ्यः+ह्वः,13030
13031:3844:2704,स्पर्द्धायामाङः,स्पर्द्धायाम्+आङः,13031
13032:1270:2705,गन्धनावक्षेपणसेवनसाहसिक्यप्रतियत्नप्रकथनोपयोगेषु कृञः,गन्धनावक्षेपणसेवनसाहसिक्य-प्रतियत्नप्रकथनोपयोगेषु+कृञः,13032
13033:156:2706,अधेः प्रसहने,अधेः+प्रसहने,13033
13034:3299:2707,वेः शब्दकर्म्मणः,वेः+शब्दकर्म्मणः,13034
13035:11:2708,अकर्मकाच्च,अकर्मकात्+च,13035
13036:3670:2709,सम्माननोत्सञ्जनाचार्यकरणज्ञानभृतिविगणनव्ययेषु नियः,सम्माननोत्सञ्जनाचार्यकरणज्ञानभृतिविगणनव्ययेषु+नियः,13036
13037:1003:2710,कर्तृस्थे चाशरीरे कर्मणि,कर्तृस्थे+च+अशरीरे+कर्मणि,13037
13038:3280:2711,वृत्तिसर्गतायनेषु क्रमः,वृत्तिसर्गतायनेषु+क्रमः,13038
13039:764:2712,उपपराभ्याम्,उपपराभ्याम्,13039
13041:3298:2714,वेः पादविहरणे,वेः+पादविहरणे,13041
13042:2564:2715,प्रोपाभ्यां समर्थाभ्याम्,प्रोपाभ्याम्+समर्थाभ्याम्,13042
13043:212:2716,अनुपसर्गाद्वा,अनुपसर्गात्+वा,13043
13044:286:2717,अपह्नवे ज्ञः,अपह्नवे+ज्ञः,13044
13045:12:2718,अकर्मकाच्च,अकर्मकात्+च,13045
13046:3660:2719,सम्प्रतिभ्यामनाध्याने,सम्प्रतिभ्याम्+अनाध्याने,13046
13047:2667:2720,भासनोपसम्भाषाज्ञानयत्नविमत्युपमन्त्रणेषु वदः,भासनोपसम्भाषाज्ञानयत्नविमत्युपमन्त्रणेषु+वदः,13047
13048:3320:2721,व्यक्तवाचां समुच्चारणे,व्यक्तवाचाम्+समुच्चारणे,13048
13049:231:2722,अनोरकर्मकात्,अनोः+अकर्मकात्,13049
13050:3223:2723,विभाषा विप्रलापे,विभाषा+विप्रलापे,13050
13052:3620:2725,समः प्रतिज्ञाने,समः+प्रतिज्ञाने,13052
13053:731:2726,उदश्चरः सकर्मकात्,उदः+चरः+सकर्मकात्,13053
13054:3630:2727,समस्तृतीयायुक्तात्,समः+तृतीयायुक्तात्,13054
13055:1841:2728,दाणश्च सा चेच्चतुर्थ्यर्थे,दाणः+च+सा+चेत्+चतुर्थ्यर्थे,13055
13056:802:2729,उपाद्यमः स्वकरणे,उपात्+यमः+स्वकरणे,13056
13057:1530:2731,ज्ञाश्रुस्मृदृशां सनः,ज्ञाश्रुस्मृदृशाम्+सनः,13057
13058:2151:2732,नानोर्ज्ञः,न+अनोः+ज्ञः,13058
13059:2481:2733,प्रत्याङ्भ्यां श्रुवः,प्रत्याङ्भ्याम्+श्रुवः,13059
13060:3356:2362,शदेः शितः,शदेः+शितः,13060
13061:2803:2538,म्रियतेर्लुङ्‌लिङोश्च,म्रियते+लुङ्‌लिङोः+च,13061
13062:2422:2734,पूर्ववत् सनः,पूर्ववत्+सनः,13062
13063:556:2240,आम्प्रत्ययवत् कृञोऽनुप्रयोगस्य,आम्प्रत्ययवत्+कृञः+अनुप्रयोगस्य,13063
13064:2563:2735,प्रोपाभ्यां युजेरयज्ञपात्रेषु,प्रोपाभ्याम्+युजेः+अयज्ञपात्रेषु,13064
13065:3619:2736,समः क्ष्णुवः,समः+क्ष्णुवः,13065
13067:1583:2738,णेरणौ यत् कर्म णौ चेत् स कर्ताऽनाध्याने,णेः+अणौ+यत्+कर्म+णौ+चेत्+सः+कर्ता+अनाध्याने,13067
13068:2678:2594,भीस्म्योर्हेतुभये,भीस्म्योः+हेतुभये,13068
13069:1303:2739,गृधिवञ्च्योः प्रलम्भने,गृधिवञ्च्योः+प्रलम्भने,13069
13070:3001:2592,लियः सम्माननशालिनीकरणयोश्च,लियः+सम्माननशालिनीकरणयोः+च,13070
13071:2780:2740,मिथ्योपपदात् कृञोऽभ्यासे,मिथ्योपपदात्+कृञः+अभ्यासे,13071
13072:3876:2158,स्वरितञितः कर्त्रभिप्राये क्रियाफले,स्वरितञितः+कर्त्रभिप्राये+क्रियाफले,13072
13075:3651:2742,समुदाङ्भ्यो यमोऽग्रन्थे,समुदाङ्भ्यः+यमः+अग्रन्थे,13075
13076:210:2743,अनुपसर्गाज्ज्ञः,अनुपसर्गात्+ज्ञः,13076
13077:3253:2744,विभाषोपपदेन प्रतीयमाने,विभाषा+उपपदेन+प्रतीयमाने,13077
13078:3428:2159,शेषात् कर्तरि परस्मैपदम्,शेषात्+कर्तरि+परस्मैपदम्,13078
13079:209:2745,अनुपराभ्यां कृञः,अनुपराभ्याम्+कृञः,13079
13080:311:2746,अभिप्रत्यतिभ्यः क्षिपः,अभिप्रत्यतिभ्यः+क्षिपः,13080
13083:3330:2749,व्याङ्परिभ्यो रमः,व्याङ्परिभ्यः+रमः,13083
13085:3242:2751,विभाषाऽकर्मकात्,विभाषा+अकर्मकात्,13085
13086:2626:2752,बुधयुधनशजनेङ्प्रुद्रुस्रुभ्यो णेः,बुधयुधनशजनेङ्-प्रुद्रुस्रुभ्यः+णेः,13086
13087:2166:2753,निगरणचलनार्थेभ्यः,निगरणचलनार्थेभ्यः+च,13087
13088:83:2754,अणावकर्मकाच्चित्तवत्कर्तृकात्,अणौ+अकर्मकात्+चित्तवत्कर्तृकात्,13088
13089:2042:2755,न पादम्याङ्यमाङ्यसपरिमुहरुचिनृतिवदवसः,न+पादम्याङ्यमाङ्यसपरिमुहरुचिनृतिवदवसः,13089
13090:3100:2669,वा क्यषः,वा+क्यषः,13090
13091:1926:2345,द्युद्भ्यो लुङि,द्‍युभ्यः+लुङि,13091
13092:3293:2347,वृद्भ्यः स्यसनोः,वृद्‍भ्यः+स्यसनोः,13092
13093:3011:2351,लुटि च कॢपः,लुटि+च+कॢपः,13093
14001:457:232,आ कडारादेका संज्ञा,आ+कडारात्+एका+संज्ञा,14001
14002:3178:175,विप्रतिषेधे परं कार्यम्,विप्रतिषेधे+परम्+कार्यम्,14002
14003:2880:266,यू स्त्र्याख्यौ नदी,यू+स्त्र्याख्यौ+नदी,14003
14004:2232:303,नेयङुवङ्स्थानावस्त्री,न+इयङुवङ्स्थानौ+अस्त्री,14004
14006:1373:293,ङिति ह्रस्वश्च,ङिति+ह्रस्वश्+च,14006
14007:3437:243,शेषो घ्यसखि,शेषः+घि+असखि,14007
14008:2269:257,पतिः समास एव,पतिः+समासे+एव,14008
14009:3489:3389,षष्ठीयुक्तश्छन्दसि वा,षष्ठीयुक्तः+छन्दसि+वा,14009
14011:3562:32,संयोगे गुरु,संयोगे+गुरु,14011
14013:2846:199,यस्मात् प्रत्ययविधिस्तदादि प्रत्ययेऽङ्गम्,यस्मात्+प्रत्ययविधिः+तदादि+प्रत्यये+अङ्गम्,14013
14014:3763:29,सुप्तिङन्तं पदम्,सुप्तिङन्तम्+पदम्,14014
14015:2082:2651,नः क्ये,नः+क्ये,14015
14016:3734:2252,सिति च,सिति+च,14016
14017:3889:230,स्वादिष्वसर्वनामस्थाने,स्वादिषु+असर्वनमस्थाने,14017
14018:2810:231,यचि भम्,यचि+भम्,14018
14019:1682:1896,तसौ मत्वर्थे,तसौ+मत्वर्थे,14019
14020:341:3370,अयस्मयादीनि च्छन्दसि,अयस्मयादीनि+छन्दसि,14020
14021:2608:187,बहुषु बहुवचनम्,बहुषु+बहुवचनम्,14021
14022:1985:186,द्व्येकयोर्द्विवचनैकवचने,द्व्-येकयोः+द्विवचनैकवचने,14022
14023:1053:534,कारके,कारके,14023
14024:2009:586,ध्रुवमपायेऽपादानम्,ध्रुवम्+अपाये+अपादानम्,14024
14025:2675:588,भीत्रार्थानां भयहेतुः,भीत्रार्थानाम्+भयहेतुः,14025
14027:3145:590,वारणार्थानां ईप्सितः,वारणार्थानाम्+ईप्सितः,14027
14028:245:591,अन्तर्द्धौ येनादर्शनमिच्छति,अन्तर्द्धौ+येन+अदर्शनम्+इच्छति+पदम्,14028
14030:1484:593,जनिकर्तुः प्रकृतिः,जनिकर्तुः+प्रकृतिः,14030
14031:2683:594,भुवः प्रभवः,भुवः+प्रभवः,14031
14032:1009:569,कर्मणा यमभिप्रैति स सम्प्रदानम्,कर्मणा+यम्+अभिप्रैति+सः+सम्प्रदानम्,14032
14033:2942:571,रुच्यर्थानां प्रीयमाणः,रुच्यर्थानाम्+प्रीयमाणः,14033
14034:3459:572,श्लाघह्नुङ्स्थाशपां ज्ञीप्स्यमानः,श्लाघह्नुङ्स्थाशपाम्+ज्ञीप्स्यमानः,14034
14035:2003:573,धारेरुत्तमर्णः,धारेः+उत्तमर्णः,14035
14037:1213:575,क्रुधद्रुहेर्ष्याऽसूयार्थानां यं प्रति कोपः,क्रुधद्रुहेर्ष्यासूयार्थानाम्+यम्+प्रति+कोपः,14037
14038:1214:576,क्रुधद्रुहोरुपसृष्टयोः कर्म,क्रुधद्रुहोः+उपसृष्टयोः+कर्म,14038
14039:2931:577,राधीक्ष्योर्यस्य विप्रश्नः,राधीक्ष्योः+यस्य+विप्रश्नः,14039
14040:2482:578,प्रत्याङ्भ्यां श्रुवः पूर्वस्य कर्ता,प्रत्याङ्भ्याम्+श्रुवः+पूर्वस्य+कर्ता,14040
14041:215:579,अनुप्रतिगृणश्च,अनुप्रतिगृणः+च,14041
14043:1865:562,दिवः कर्म च,दिवः+कर्म+च,14043
14044:2308:580,परिक्रयणे सम्प्रदानमन्यतरस्याम्,परिक्रयणे+सम्प्रदानम्+अन्यतरस्याम्,14044
14046:152:542,अधिशीङ्स्थाऽऽसां कर्म,अधिशीङ्स्थाऽऽसाम्+कर्म,14046
14047:308:543,अभिनिविशश्च,अभिनिविशः+च,14047
14048:805:544,उपान्वध्याङ्वसः,उपान्वध्याङ्वसः,14048
14049:998:535,कर्तुरीप्सिततमं कर्म,कर्तुः+ईप्सिततमम्+कर्म,14049
14050:1624:538,तथायुक्तं चानिप्सीतम्,तथा+युक्तम्+च+आनिप्सीतम्,14050
14052:1260:540,गतिबुद्धिप्रत्यवसानार्थशब्दकर्माकर्मकाणामणि कर्ता,गतिबुद्धिप्रत्यवसानार्थशब्दकर्माकर्मकाणाम्+अणि+कर्ता+सः+णौ,14052
14053:3947:541,हृक्रोरन्यतरस्याम्,हृक्रोः+अन्यतरस्याम्,14053
14054:3864:559,स्वतन्त्रः कर्ता,स्वतन्त्रः+कर्ता,14054
14055:1610:2575,तत्प्रयोजको हेतुश्च,तत्प्रयोजकः+हेतुः+च,14055
14056:2526:19,प्राग्रीश्वरान्निपाताः,प्राक्+रीश्वरात्+निपाताः,14056
14058:2541:21,प्रादयः,प्रादयः,14058
14059:780:22,उपसर्गाः क्रियायोगे,उपसर्गाः+क्रियायोगे,14059
14061:844:762,ऊर्यादिच्विडाचश्च,ऊर्यादिच्विडाचः+च,14061
14062:186:763,अनुकरणं चानितिपरम्,अनुकरणम्+च+अनितिपरम्,14062
14063:517:764,आदरानादरयोः सदसती,आदरानादरयोः+सदसती,14063
14065:242:766,अन्तरपरिग्रहे,अन्तः+अपरिग्रहे,14065
14066:963:767,कणेमनसी श्रद्धाप्रतीघाते,कणेमनसी+श्रद्धाप्रतीघाते,14066
14069:61:770,अच्छ गत्यर्थवदेषु,अच्छ+गत्यर्थवदेषु,14069
14071:1736:772,तिरोऽन्तर्द्धौ,तिरः+अन्तर्द्धौ,14071
14072:3188:773,विभाषा कृञि,विभाषा+कृञि,14072
14073:798:774,उपाजेऽन्वाजे,उपाजेऽन्वाजे,14073
14074:3711:775,साक्षात्प्रभृतीनि च,साक्षात्प्रभृतीनि+च,14074
14075:171:776,अनत्याधान उरसिमनसी,अनत्याधाने+उरसिमनसी,14075
14076:2731:777,मध्येपदेनिवचने च,मध्ये,14076
14078:2544:779,प्राध्वं बन्धने,प्राध्वम्+बन्धने,14078
