11001:3288:16,वृद्धिरादैच्,वृद्धिः+आदैच्,11001:वृद्धिरादैच्:1
21007:2827:661,यथाऽसादृये,यथा+असादृये,21007:यथासादृये:0
21008:2859:662,यावदवधारणे,यावत्+अवधारणे,21008:यावतवधारणे:0
21015:218:669,अनुर्यत्समया,अनुः+यत्समया,21015:अनुर्यत्समया:1
21020:2104:674,नदीभिश्च,नदीभिः+च,21020:नदीभिश्च:1
21023:1944:685,द्विगुश्च,द्विगुः+च,21023:द्विगुश्च:1
21025:3873:678,स्वयं क्तेन,स्वयम्+क्तेन,21025:( स्वयंक्तेन-> )स्वयङ्क्तेन:0
21043:1151:720,कृत्यैर्ऋणे,कृत्यैः+ऋणे,21043:कृत्यैरृणे:0
21064:1078:742,किं क्षेपे,किम्+क्षेपे,21064:( किंक्षेपे-> )किङ्क्षेपे:0
21069:3075:750,वर्णो वर्णेन,वर्णः+वर्णेन,21069:वर्णः वर्णेन:0
22002:354:713,अर्धं नपुंसकम्‌,अर्धम्+नपुंसकम्,22002:अर्धम्नपुंसकम्:0
22007:690:755,ईषदकृता,ईषत्+अकृता,22007:ईषतकृता:0
22019:763:782,उपपदमतिङ्,उपपदम्+अतिङ्,22019:उपपदमतिङ्:1
23019:3700:564,सहयुक्तेऽप्रधाने,सहयुक्ते+अप्रधाने,23019:सहयुक्तयप्रधाने, सहयुक्त अप्रधाने, सहयुक्तेऽप्रधाने:1
23058:1867:619,दिवस्तदर्थस्य,दिवः+तदर्थस्य,23058:दिवस्तदर्थस्य:1
23059:3255:620,विभाषोपसर्गे,विभाषा+उपसर्गे,23059:विभाषोपसर्गे:1
24001:1943:731,द्विगुरेकवचनम्‌,द्विगुः+एकवचनम्,24001:द्विगुरेकवचनम्:0
24003:220:907,अनुवादे चरणानाम्‌,अनुवादे+चरणानाम्,24003:अनुवादेचरणानाम्:0
24017:3504:821,स नपुंसकम्‌,सः+नपुंसकम्,24017:सः नपुंसकम्:0
24027:2423:813,पूर्ववदश्ववडवौ,पूर्ववत्+अश्ववडवौ,24027:पूर्ववतश्ववडवौ:0
24030:273:815,अपथं नपुंसकम्‌,अपथम्+नपुंसकम्,24030:अपथम्नपुंसकम्:0
24037:3009:2427,लुङ्सनोर्घसॢ,लुङ्सनोः+घसॢ,24037:लुङ्सनोर्घसॢ:1
24038:1357:3236,घञपोश्च,घञपोः+च,24038:घञपोश्च:1
24039:2586:3398,बहुलं छन्दसि,बहुलम्+छन्दसि,24039:( बहुलंछन्दसि-> )बहुलञ्छन्दसि:0
24041:3304:2411,वेञो वयिः,वेञः+वयिः,24041:वेञः वयिः:0
24048:605:2616,इङश्च,इङः+च,24048:इङश्च:1
24049:1285:2459,गाङ्‌ लिटि,गाङ्+लिटि,24049:गाङ्लिटि:0
24052:438:2470,अस्तेर्भूः,अस्तेः+भूः,24052:अस्तेर्भूः:1
24053:2637:2453,ब्रुवो वचिः,ब्रुवः+वचिः,24053:ब्रुवः वचिः:0
24054:1381:2436,चक्षिङः ख्याञ्‌,चक्षिङः+ख्याञ्,24054:चक्षिङ8ख्याञ्, चक्षिङः ख्याञ्:0
24060:615:1085,इञः प्राचाम्‌,इञः+प्राचाम्,24060:इञ8प्राचाम्, इञः प्राचाम्:0
24064:2822:1108,यञञोश्च,यञञोः+च,24064:यञञोश्च:1
24073:2587:3400,बहुलं छन्दसि,बहुलम्+छन्दसि,24073:( बहुलंछन्दसि-> )बहुलञ्छन्दसि:0
24076:2588:3401,बहुलं छन्दसि,बहुलम्+छन्दसि,24076:( बहुलंछन्दसि-> )बहुलञ्छन्दसि:0
24082:403:452,अव्ययादाप्सुपः,अव्ययात्+आप्सुपः,24082:अव्ययाताप्सुपः:0
31002:2298:181,परश्च,परः+च,31002:परश्च:1
31010:768:2664,उपमानादाचारे,उपमानात्+आचारे,31010:उपमानाताचारे:0
31029:857:2422,ऋतेरीयङ्,ऋतेः+ईयङ्,31029:ऋतेरीयङ्:1
31030:980:2310,कमेर्णिङ्,कमेः+णिङ्,31030:कमेर्णिङ्:1
31037:1837:2324,दयायासश्च,दयायासः+च,31037:दयायासश्च:1
31046:3460:2514,श्लिष आलिङ्गने,श्लिषः+आलिङ्गने,31046:श्लिषयालिङ्गने, श्लिष आलिङ्गने:1
31050:1299:3404,गुपेश्छन्दसि,गुपेः+छन्दसि,31050:गुपेश्छन्दसि:1
31057:662:2269,इरितो वा,इरितः+वा,31057:इरितः वा:0
31063:1894:2769,दुहश्च,दुहः+च,31063:दुहश्च:1
31068:995:2167,कर्तरि शप्‌,कर्त्तरि+शप्,31068:कर्त्तरिशप्:0
31072:3558:2522,संयसश्च,संयसः+च,31072:संयसश्च:1
31085:3322:3433,व्यत्ययो बहुलम्,व्यत्ययः+बहुलम्,31085:व्यत्ययः बहुलम्:0
31093:1154:374,कृदतिङ्,कृत्+अतिङ्,31093:कृततिङ्:0
31097:55:2842,अचो यत्‌,अचः+यत्,31097:अचः यत्:0
31098:2441:2844,पोरदुपधात्‌,पोः+अदुपधात्,31098:पोरदुपधात्:0
31099:3347:2847,शकिसहोश्च,शकिसहोः+च,31099:शकिसहोश्च:1
31102:3099:2850,वह्यं करणम्‌,वह्यम्+करणम्,31102:( वह्यंकरणम्-> )वह्यङ्करणम्:0
31105:62:2853,अजर्यं संगतम्‌,अजर्यम्+संगतम्,31105:अजर्यंसंगतम्:0
31107:2688:2855,भुवो भावे,भुवः+भावे,31107:भुवः भावे:0
31113:2793:2862,मृजेर्विभाषा,मृजेः+विभाषा,31113:मृजेर्विभाषा:1
31124:874:2872,ऋहलोर्ण्यत्‌,ऋहलोः+ण्यत्,31124:ऋहलोर्ण्यत्:0
31125:942:2886,ओरावश्यके,ओः+आवश्यके,31125:ओरावश्यके:1
31127:538:2888,आनाय्योऽनित्ये,आनाय्यः+अनित्ये,31127:आनाय्योऽनित्ये:1
31143:3193:2905,विभाषा ग्रहेः,विभाषा+ग्रहः,31143:विभाषाग्रहः:0
31146:1283:2908,गस्थकन्,गः+थकन्,31146:गस्थकन्:1
32001:1018:2913,कर्मण्यण्,कर्मणि+अण्,32001:कर्मण्यण्, कर्मणि अण्:1
32002:3983:2914,ह्वावामश्च,ह्वावामः+च,32002:ह्वावामश्च:1
32008:1291:2922,गापोष्टक्,गापोः+टक्,32008:गापोष्टक्:1
32016:1400:2930,चरेष्टः,चरेः+टः,32016:चरेष्टः:1
32047:1273:2964,गमश्च,गमः+च,32047:गमश्च:1
32062:2644:2976,भजो ण्विः,भजः+ण्विः,32062:भजः ण्विः:0
32064:3097:3410,वहश्च,वहः+च,32064:वहश्च:1
32068:136:2977,अदोऽनन्ने,अदः+अनन्ने,32068:अदोऽनन्ने:1
32079:996:2989,कर्तर्युपमाने,कर्तरि+उपमाने,32079:कर्तर्युपमाने, कर्तरि उपमाने:1
32088:2589:2419,बहुलं छन्दसि,बहुलम्+छन्दसि,32088:( बहुलंछन्दसि-> )बहुलञ्छन्दसि:0
32094:1904:3004,दृशेः क्वनिप्‌,दृशेः+क्वनिप्,32094:दृशे8क्वनिप्, दृशेः क्वनिप्:0
32103:3768:3091,सुयजोर्ङ्वनिप्‌,सुयजोः+ङ्वनिप्,32103:सुयजोर्ङ्वनिप्:0
32104:1518:3092,जीर्यतेरतृन्,जीर्यतेः+अतृन्,32104:जीर्यतेरतृन्:1
32107:1220:3095,क्वसुश्च,क्वसुः+च,32107:क्वसुश्च:1
32121:2112:2781,नन्वोर्विभाषा,नन्वोः+विभाषा,32121:नन्वोर्विभाषा:1
32127:1796:3106,तौ सत्‌,तौ+सत्,32127:तौसत्:0
32131:1972:3111,द्विषोऽमित्रे,द्विषः+अमित्रे,32131:द्विषोऽमित्रे:1
32137:1587:3117,णेश्छन्दसि,णेः+छन्दसि,32137:णेश्छन्दसि:1
32138:2685:3118,भुवश्च,भुवः+च,32138:भुवश्च:1
32156:2455:3136,प्रजोरिनिः,प्रजोः+इनिः,32156:प्रजोरिनिः:1
32164:1267:3144,गत्वरश्च,गत्वरः+च,32164:गत्वरश्च:1
32165:1498:3145,जागुरूकः,जागुः+ऊकः,32165:जागुरूकः:1
32169:3173:3149,विन्दुरिच्छुः,विन्दुः+इच्छुः,32169:विन्दुरिच्छुः:1
32170:1197:3150,क्याच्छन्दसि,क्यात्+छन्दसि,32170:क्याच्छन्दसि:1
33001:706:3169,उणादयो बहुलम्,उणादयः+बहुलम्,33001:उणादयः बहुलम्:0
33011:2662:3180,भाववचनाश्च,भाववचनाः+च,33011:भाववचनाश्च:1
33021:606:3191,इङश्च,इङः+च,33021:इङश्च:1
33026:397:3197,अवोदोर्नियः,अवोदोः+नियः,33026:अवोदोर्नियः:1
33029:752:3200,उन्न्योर्ग्रः,उन्न्योः+ग्रः,33029:उन्न्योर्ग्रः:1
33054:3279:3229,वृणोतेराच्छादने,वृणोतेः+आच्छादने,33054:वृणोतेराच्छादने:1
33056:920:3231,एरच्,एः+अच्,33056:एरच्:1
33057:869:3232,ऋदोरप्‌,ऋदोः+अप्,33057:ऋदोरप्:0
33059:794:3235,उपसर्गेऽदः,उपसर्गे+अदः,33059:उपसर्गयदः, उपसर्ग अदः, उपसर्गेऽदः:1
33062:3866:3239,स्वनहसोर्वा,स्वनहसोः+वा,33062:स्वनहसोर्वा:1
33074:2193:3251,निपानमाहावः,निपानम्+आहावः,33074:निपानमाहावः:1
33081:270:3258,अपघनोऽङ्गम्,अपघनः+अङ्गम्,33081:अपघनोऽङ्गम्:1
33085:754:3263,उपघ्न आश्रये,उपघ्नः+आश्रये,33085:उपघ्नयाश्रये, उपघ्न आश्रये:1
33087:2168:3265,निघो निमितम्,निघः+निमितम्,33087:निघः निमितम्:0
33089:1562:3267,ट्वितोऽथुच्,ट्वितः+अथुच्,33089:ट्वितोऽथुच्:1
33091:3870:3269,स्वपो नन्,स्वपः+नन्,33091:स्वपः नन्:0
33121:3915:3300,हलश्च,हलः+च,33121:हलश्च:1
33123:727:3302,उदङ्कोऽनुदके,उदङ्कः+अनुदके,33123:उदङ्कोऽनुदके:1
33124:1513:3303,जालमानायः,जालम्+आनायः,33124:जालमानायः:1
33128:505:3309,आतो युच्,आतः+युच्,33128:आतः युच्:0
33147:1504:2804,जातुयदोर्लिङ्,जातुयदोः+लिङ्,33147:जातुयदोर्लिङ्:1
33171:1149:3312,कृत्याश्च,कृत्याः+च,33171:कृत्याश्च:1
34054:3886:3376,स्वाङ्गेऽध्रुवे,स्वाङ्गे+अध्रुवे,34054:स्वाङ्गयध्रुवे, स्वाङ्ग अध्रुवे, स्वाङ्गेऽध्रुवे:1
34060:1737:3382,तिर्यच्यपवर्गे,तिर्यचि+अपवर्गे,34060:तिर्यच्यपवर्गे, तिर्यचि अपवर्गे:1
34067:992:2832,कर्तरि कृत्‌,कर्त्तरि+कृत्,34067:कर्त्तरिकृत्:0
34074:2676:3173,भीमादयोऽपादाने,भीमादयः+अपादाने,34074:भीमादयोऽपादाने:1
34080:1820:2236,थासस्से,थासः+से,34080:थासस्से, थासः से:1
34085:3023:2198,लोटो लङ्वत्‌,लोटः+लङ्वत्,34085:लोटः लङ्वत्:0
34086:922:2196,एरुः,एः+उः,34086:एरुः:1
34089:2799:2203,मेर्निः,मेः+निः,34089:मेर्निः:1
34090:555:2251,आमेतः,आम्+एतः,34090:आमेतः:1
34093:909:2253,एत ऐ,एतः+ऐ,34093:एतयै, एत ऐ:1
34094:3021:3427,लेटोऽडाटौ,लेटः+अडाटौ,34094:लेटोऽडाटौ:1
34095:496:3429,आत ऐ,आतः+ऐ,34095:आतयै, आत ऐ:1
34098:3502:3428,स उत्तमस्य,सः+उत्तमस्य,34098:सयुत्तमस्य, स उत्तमस्य, (स उत्तमस्य->) सोत्तमस्य:1
34099:2173:2200,नित्यं ङितः,नित्यम्+ङितः,34099:नित्यम्ङितः:0
34100:631:2207,इतश्च,इतः+च,34100:इतश्च:1
34102:2980:2255,लिङस्सीयुट्,लिङः+सीयुट्,34102:लिङस्सीयुट्, लिङः सीयुट्:1
34104:1086:2216,किदाशिषि,कित्+आशिषि,34104:किताशिषि:0
34106:618:2257,इटोऽत्‌,इटः+अत्,34106:इटोऽत्:0
34108:1550:2213,झेर्जुस्,झेः+जुस्,34108:झेर्जुस्:1
34112:1971:2435,द्विषश्च,द्विषः+च,34112:द्विषश्च:1
34116:2981:2215,लिङाशिषि,लिङ्+आशिषि,34116:लिङाशिषि:1
34117:1463:3435,छन्दस्युभयथा,छन्दसि+उभयथा,34117:छन्दस्युभयथा, छन्दसि उभयथा:1
41004:65:454,अजाद्यतष्टाप्‌,अजाद्यतः+टाप्,41004:अजाद्यतष्टाप्:0
41006:696:455,उगितश्च,उगितः+च,41006:उगितश्च:1
41009:1557:458,टाबृचि,टप्+ऋचि,41009:टपृचि:0
41016:2823:471,यञश्च,यञः+च,41016:यञश्च:1
41040:258:497,अन्यतो ङीष्।,अन्यतः+ङीष्,41040:अन्यतः ङीष्:0
41043:3439:501,शोणात्‌ प्राचाम्,शोणात्+प्राचाम्,41043:शोणात्प्राचाम्:0
41046:2174:3446,नित्यं छन्दसि,नित्यम्+छन्दसि,41046:( नित्यंछन्दसि-> )नित्यञ्छन्दसि:0
41047:2686:3447,भुवश्च,भुवः+च,41047:भुवश्च:1
41066:831:521,ऊङुतः,ऊङ्+उतः,41066:ऊङुतः:1
41068:2256:523,पङ्गोश्च,पङ्गोः+च,41068:पङ्गोश्च:1
41074:2806:528,यङश्चाप्‌,यङः+चाप्,41074:यङश्चाप्:0
41075:572:529,आवट्याच्च,आवट्यात्+च,41075:आवट्याच्च:1
41077:2882:531,यूनस्तिः,यूनः+तिः,41077:यूनस्तिः:1
41092:1707:1088,तस्यापत्यम्,तस्य+अपत्यम्,41092:तस्यापत्यम्:1
41093:898:1093,एको गोत्रे,एकः+गोत्रे,41093:एकः गोत्रे:0
41095:96:1095,अत इञ्,अतः+इञ्,41095:अतयिञ्, अत इञ्:1
41101:2824:1103,यञिञोश्च,यञिञोः+च,41101:यञिञोश्च:1
41108:3046:1111,वतण्डाच्च,वतण्डात्+च,41108:वतण्डाच्च:1
41118:2377:1121,पीलाया वा,पीलायाः+वा,41118:पीलायाः वा:0
41127:1119:1132,कुलटाया वा,कुलटायाः+वा,41127:कुलटायाः वा:0
41128:1385:1134,चटकाया ऐरक्,चटकायाः+ऐरक्,41128:चटकायायैरक्, चटकाया ऐरक्:1
41129:1323:1135,गोधाया ढ्रक्,गोधायाः+ढ्रक्,41129:गोधायाः ढ्रक्:0
41130:564:1136,आरगुदीचाम्,आरक्+उदीचाम्,41130:आरकुदीचाम्:0
41139:1121:1162,कुलात्‌ खः,कुलात्+खः,41139:कुलात्खः:0
41143:3881:1166,स्वसुश्छः,स्वसुः+छः,41143:स्वसुश्छः:1
41153:744:1177,उदीचामिञ्,उदीचाम्+इञ्,41153:उदीचामिञ्:1
41156:89:1180,अणो द्व्यचः,अणः+द्‍व्यचः,41156:अणः द्‍व्यचः:0
41177:102:1196,अतश्च,अतः+च,41177:अतश्च:1
42004:3015:1205,लुबविशेषे,लुप्+अविशेषे,42004:लुपविशेषे:0
42007:1905:1208,दृष्ट्अं साम,दृष्टम्+साम,42007:दृष्टंसाम:0
42010:2319:1211,परिवृतो रथः,परिवृतः+रथः,42010:परिवृतः रथः:0
42017:3418:1218,शूलोखाद्यत्‌,शूलोखात्+यत्,42017:शूलोखात्यत्:0
42018:1831:1219,दध्नष्ठक्,दध्नः+ठक्,42018:दध्नष्ठक्:1
42020:1232:1222,क्षीराड्ढञ्,क्षीरात्+ढञ्,42020:क्षीराट्ढञ्:0
42025:1044:1227,कस्येत्‌,कस्य+इत्,42025:कस्येत्:0
42026:3409:1228,शुक्राद्घन्,शुक्रात्+घन्,42026:शुक्रात्घन्:0
42030:3796:1232,सोमाट्ट्यण्,सोमात्+ट्यण्,42030:सोमाट्ट्यण्:1
42033:26:1236,अग्नेर्ढक्,अग्नेः+ढक्,42033:अग्नेर्ढक्:1
42034:1070:1237,कालेभ्यो भववत्‌,कालेभ्यः+भववत्,42034:कालेभ्यः भववत्:0
42046:1397:1255,चरणेभ्यो धर्मवत्‌,चरणेभ्यः+धर्मवत्,42046:चरणेभ्यः धर्मवत्:0
42052:3268:1261,विषयो देशे,विषयः+देशे,42052:विषयः देशे:0
42070:133:1282,अदूरभवश्च,अदूरभवः+च,42070:अदूरभवश्च:1
42071:940:1283,ओरञ्,ओः+अञ्,42071:ओरञ्:1
42079:1168:1291,कोपधाच्च,कोपधात्+च,42079:कोपधाच्च:1
42081:1481:1293,जनपदे लुप्‌,जनपदे+लुप्,42081:जनपदेलुप्:0
42085:2105:1304,नद्यां मतुप्‌,नद्याम्+मतुप्,42085:नद्याम्मतुप्:0
42088:2098:1307,नडशादाड्ड्वलच्,नडशादात्+वलच्,42088:नडशादात्वलच्:0
42094:1346:1314,ग्रामाद्यखञौ,ग्रामात्+यखञौ,42094:ग्रामात्यखञौ:0
42102:974:1322,कन्थायाष्ठक्,कन्थायाः+ठक्,42102:कन्थायाष्ठक्:1
42104:402:1324,अव्ययात्त्यप्‌,अव्ययात्+त्यप्,42104:अव्ययात्त्यप्:0
42112:616:1333,इञश्च,इञः+च,42112:इञश्च:1
42114:3283:1337,वृद्धाच्छः,वृद्धात्+छः,42114:वृद्धाच्छः:1
42115:2649:1339,भवतष्ठक्छसौ,भवतः+ठक्छसौ,42115:भवतष्ठक्छसौ:1
42118:3257:1342,विभाषोशीनरेषु,विभाषा+उशीनरेषु,42118:विभाषोशीनरेषु:1
42120:3285:1344,वृद्धात्‌ प्राचाम्,वृद्धात्+प्राचाम्,42120:वृद्धात्प्राचाम्:0
42129:343:1353,अरण्यान्मनुष्ये,अरण्यात्+मनुष्ये,42129:अरण्यात्मनुष्ये:0
42132:1170:1356,कोपधादण्,कोपधात्+अण्,42132:कोपधातण्:0
42135:274:1359,अपदातौ साल्वात्‌,अपदातौ+साल्वात्,42135:अपदातौसाल्वात्:0
42139:2529:1363,प्राचां कटादेः,प्राचाम्+कटादेः,42139:( प्राचांकटादेः-> )प्राचाङ्कटादेः:0
42143:2338:1367,पर्वताच्च,पर्वतात्+च,42143:पर्वताच्च:1
42144:3246:1368,विभाषाऽमनुष्ये,विभाषा+अमनुष्ये,42144:विभाषामनुष्ये:0
43003:1675:1372,तवकममकावेकवचने,तवकममकौ+एकवचने,43003:तवकममकावेकवचने, तवकममका एकवचने:1
43004:358:1374,अर्धाद्यत्‌,अर्धात्+यत्,43004:अर्धात्यत्:0
43008:2730:1378,मध्यान्मः,मध्यात्+मः,43008:मध्यात्मः:0
43011:1065:1381,कालाट्ठञ्,कालात्+ठञ्,43011:कालाट्ठञ्:1
43017:2548:1388,प्रावृष एण्यः,प्रावृषः+एण्यः,43017:प्रावृषयेण्यः, प्रावृष एण्यः:1
43020:3088:3451,वसन्ताच्च,वसन्तात्+च,43020:वसन्ताच्च:1
43026:2549:1394,प्रावृषष्ठप्‌,प्रावृषः+ठप्,43026:प्रावृषष्ठप्:0
43042:1171:1417,कोशाड्ढञ्,कोशात्+ढञ्,43042:कोशाट्ढञ्:0
43047:1906:1422,देयमृणे,देयम्+ऋणे,43047:देयमृणे:1
43071:1459:1450,छन्दसो यदणौ,छन्दसः+यदणौ,43071:छन्दसः यदणौ:0
43078:856:1457,ऋतष्ठञ्,ऋतः+ठञ्,43078:ऋतष्ठञ्:1
43080:1315:1459,गोत्रादङ्कवत्‌,गोत्रात्+अङ्कवत्,43080:गोत्रातङ्कवत्:0
43084:3164:1464,विदूराञ्ञ्यः,विदूरात्+ञ्यः,43084:विदूराच्ञ्यः:0
43090:305:1470,अभिजनश्च,अभिजनः+च,43090:अभिजनश्च:1
43107:959:1487,कठचरकाल्लुक्,कठचरकात्+लुक्,43107:कठचरकाल्लुक्:1
43108:1032:1488,कलापिनोऽण्,कलापिनः+अण्,43108:कलापिनोऽण्:1
43109:1438:1489,छगलिनो ढिनुक्,छगलिनः+ढिनुक्,43109:छगलिनः ढिनुक्:0
43112:1792:1492,तेनैकदिक्,तेन+एकदिक्,43112:तेनैकदिक्:1
43113:1680:1493,तसिश्च,तसिः+च,43113:तसिश्च:1
43120:1708:1500,तस्येदम्,तस्य+इदम्,43120:तस्येदम्:1
43121:2906:1501,रथाद्यत्‌,रथात्+यत्,43121:रथात्यत्:0
43124:3917:1504,हलसीराट्ठक्,हलसीरात्+ठक्,43124:हलसीराट्ठक्:1
43128:3381:1508,शाकलाद्वा,शाकलात्+वा,43128:शाकलात्वा:0
43137:1169:1517,कोपधाच्च,कोपधात्+च,43137:कोपधाच्च:1
43139:941:1519,ओरञ्,ओः+अञ्,43139:ओरञ्:1
43142:3365:1522,शम्याष्ट्लञ्,शम्याः+ट्लञ्,43142:शम्याष्ट्लञ्:1
43146:2376:1526,पिष्टाच्च,पिष्टात्+च,43146:पिष्टाच्च:1
43150:1979:3453,द्व्यचश्छन्दसि,द्‍व्यचः+छन्दसि,43150:द्‍व्यचश्छन्दसि:0
43159:907:1537,एण्या ढञ्,एण्याः+ढञ्,43159:एण्याः ढञ्:0
43160:1324:1538,गोपयसोर्यत्‌,गोपयसोः+यत्,43160:गोपयसोर्यत्:0
43161:1932:1539,द्रोश्च,द्रोः+च,43161:द्रोश्च:1
43165:1488:1544,जम्ब्वा वा,जम्ब्वाः+वा,43165:जम्ब्वाः वा:0
44023:1426:1573,चूर्णादिनिः,चूर्णात्+इनिः,44023:चूर्णातिनिः:0
44024:2973:1574,लवणाल्लुक्,लवणात्+लुक्,44024:लवणाल्लुक्:1
44025:2790:1575,मुद्गादण्,मुद्गात्+अण्,44025:मुद्गातण्:0
44029:2318:1579,परिमुखं च,परिमुखम्+च,44029:( परिमुखंच-> )परिमुखञ्च:0
44041:1991:1591,धर्मं चरति,धर्मम्+चरति,44041:( धर्मंचरति-> )धर्मञ्चरति:0
44044:2321:1594,परिषदो ण्यः,परिषदः+ण्यः,44044:परिषदः ण्यः:0
44045:3786:1595,सेनाया वा,सेनायाः+वा,44045:सेनायाः वा:0
44049:861:1599,ऋतोऽञ्,ऋतः+अञ्,44049:ऋतोऽञ्:1
44052:2972:1602,लवणाट्ठञ्,लवणात्+ठञ्,44052:लवणाट्ठञ्:1
44065:3939:1616,हितं भक्षाः,हितम्+भक्षाः,44065:( हितंभक्षाः-> )हितम्भक्षाः:0
44077:2006:1628,धुरो यड्ढकौ,धुरः+यड्‍ढकौ,44077:धुरः यड्‍ढकौ:0
44080:3343:1632,शकटादण्,शकटात्+अण्,44080:शकटातण्:0
44081:3918:1633,हलसीराट्ठक्,हलसीरात्+ठक्,44081:हलसीराट्ठक्:1
44083:3169:1635,विध्यत्यधनुषा,विध्यति+अधनुषा,44083:विध्यत्यधनुषा, विध्यति अधनुषा:1
