"Sutra krama","Akaaraadi krama","Kaumudi krama","Sutra","PadacCheda",
"12038","1913","3667","देवब्रह्मणोरनुदात्तः","देवब्रह्मणोः अनुदात्तः",
"12039","3878","3668","स्वरितात् संहितायामनुदात्तानाम्","स्वरितात् संहितायाम् अनुदात्तानाम्",
"12040","734","3669","उदात्तस्वरितपरस्य सन्नतरः","उदात्तस्वरितपरस्य सन्नतरः",
"12041","295","251","अपृक्त एकाल् प्रत्ययः","अपृक्तः एकाल् प्रत्ययः",
"12042","1602","745","तत्पुरुषः समानाधिकरणः कर्मधारयः","तत्पुरुषः समानाधिकरणः कर्मधारयः",
"12043","2486","653","प्रथमानिर्दिष्टं समास उपसर्जनम्","प्रथमानिर्दिष्टम् समासे उपसर्जनम्",
"12044","883","655","एकविभक्ति चापूर्वनिपाते","एकविभक्ति च आपूर्वनिपाते",
"12045","350","178","अर्थवदधातुरप्रत्ययः प्रातिपदिकम्","अर्थवत् अधातुः अप्रत्ययः प्रातिपदिकम्",
"12046","1142","179","कृत्तद्धितसमासाश्च","कृत्तद्धितसमासाः च",
"12047","3978","318","ह्रस्वो नपुंसके प्रातिपदिकस्य","ह्रस्वः नपुंसके प्रातिपदिकस्य",
"12048","1333","656","गोस्त्रियोरुपसर्ज्जनस्य","गोस्त्रियोः उपसर्जनस्य",
"12049","3003","1408","लुक् तद्धितलुकि","लुक् तद्धितलुकि",
"12050","650","1703","इद्गोण्याः","इत् गोण्याः",
"12051","3013","1294","लुपि युक्तवद्व्यक्तिवचने","लुपि युक्तवत् व्यक्तिवचने",
"12052","3266","1300","विशेषणानां चाजातेः","विशेषणानाम् च आ जातेः",
"12053","1629","1295","तदशिष्यं संज्ञाप्रमाणत्वात्","तत् अशिष्यम् संज्ञाप्रमाणत्वात्",
"12054","3016","1296","लुब्योगाप्रख्यानात्","लुप् योगाप्रख्यानात्",
"12055","2894","1297","योगप्रमाणे च तदभावेऽदर्शनं स्यात्","योगप्रमाणे च तदभावे अदर्शनम् स्यात्",
"12056","2489","1298","प्रधानप्रत्ययार्थवचनमर्थस्यान्यप्रमाणत्वात्","प्रधानप्रत्ययार्थवचनम् अर्थस्य अन्यप्रमाणत्वात्",
"12057","1071","1299","कालोपसर्जने च तुल्यम्","कालोपसर्जने च तुल्यम्",
"12058","1508","817","जात्याख्यायामेकस्मिन् बहुवचनमन्यतरस्याम्","जात्याख्यायाम् एकस्मिन् बहुवचनम् अन्यतरस्याम्",
"12059","440","818","अस्मदो द्वायोश्च","अस्मदः द्वायोः च",
"12060","2573","819","फल्गुनीप्रोष्ठपदानां च नक्षत्रे","फल्गुनीप्रोष्ठपदानाम् च नक्षत्रे",
"12061","1450","3387","छन्दसि पुनर्वस्वोरेकवचनम्","छन्दसि पुनर्वस्वोः एकवचनम्",
"12062","3261","3388","विशाखयोश्च","विशाखयोः च",
"12063","1740","820","तिष्यपुनर्वस्वोर्नक्षत्रद्वंद्वे बहुवचनस्य","तिष्यपुनर्वस्वोः नक्षत्रद्वंद्वे बहुवचनस्य द्विवचनम् नित्यम्",
"12064","3671","188","सरूपाणामेकशेष एकविभक्तौ","सरूपाणाम् एकशेषः एकविभक्तौ",
"12065","3292","931","वृद्धो यूना तल्लक्षणश्चेदेव विशेषः","वृद्धः यूना तल्लक्षणः चेत् एव विशेषः",
"12066","3823","932","स्त्री पुंवच्च","स्त्री पुंवत् च",
"12067","2389","933","पुमान् स्त्रिया","पुमान् स्त्रिया",
"12068","2709","934","भ्रातृपुत्रौ स्वसृदुहितृभ्याम्","भ्रातृपुत्रौ स्वसृदुहितृभ्याम्",
"12069","2114","935","नपुंसकमनपुंसकेनैकवच्चास्यान्यतरस्याम्","नपुंसकम् अनपुंसकेन एकवत् च अस्य अन्यतरस्याम्",
"12070","2372","936","पिता मात्रा","पिता मात्रा",
"12071","3465","937","श्वशुरः श्वश्र्वा","श्वशुरः श्वश्र्वा",
"12072","1800","938","त्यदादीनि सर्वैर्नित्यम्","त्यदादीनि सर्वौः नित्यम्",
"12073","1348","939","ग्राम्यपशुसंघेषु अतरुणेषु स्त्री","ग्राम्यपशुसंघेषु अतरुणेषु स्त्री",
"13001","2694","18","भूवादयो धातवः","भूवादयः धातवः",
"13002","759","3","उपदेशेऽजनुनासिक इत्","उपदेशे अच् अनुनासिकः इत्",
"13003","3914","1","हलन्त्यम्","हल् अन्त्यम् अन्ते दिगादित्वात् यत्",
"13004","2067","190","न विभक्तौ तुस्माः","न विभक्तौ तुस्माः",
"13005","524","2289","आदिर्ञिटुडवः","आदिः ञिटुडवः",
"13006","3470","474","षः प्रत्ययस्य","षः प्रत्ययस्य",
"13007","1425","189","चुटू","चुटू",
"13008","2974","195","लशक्वतद्धिते","लशकु अतद्धिते",
"13009","1701","62","तस्य लोपः","तस्य लोपः",
"13010","2832","128","यथासंख्यमनुदेशः समानाम्","यथासंख्यम् अनुदेशः समानाम्",
"13011","3879","46","स्वरितेनाधिकारः","स्वरितेन अधिकारः",
"13012","196","2157","अनुदात्तङित आत्मनेपदम्","अनुदात्तङितः आत्मनेपदम्",
"13013","2660","2679","भावकर्म्मणोः","भावकर्म्मणोः",
"13014","1004","2680","कर्त्तरि कर्म्मव्यतिहारे","कर्त्तरि कर्म्मव्यतिहारे",
"13015","2020","2681","न गतिहिंसार्थेभ्यः","न गतिहिंसार्थेभ्यः",
"13016","630","2682","इतरेतरान्योन्योपपदाच्च","इतरेतरान्योन्योपपदात् च",
"13017","2236","2683","नेर्विशः","नेः विशः",
"13018","2320","2684","परिव्यवेभ्यः क्रियः","परिव्यवेभ्यः क्रियः",
"13019","3175","2685","विपराभ्यां जेः","विपराभ्याम् जेः",
"13020","477","2686","आङो दोऽनास्यविहरणे","आङः दः अनास्यविहरणे",
"13021","1210","2687","क्रीडोऽनुसम्परिभ्यश्च","क्रीडः अनुसम्परिभ्यः च",
"13022","3627","2689","समवप्रविभ्यः स्थः","समवप्रविभ्यः स्थः",
"13023","2447","2690","प्रकाशनस्थेयाख्ययोश्च","प्रकाशनस्थेयाख्ययोः च",
"13024","747","2691","उदोऽनूर्द्ध्वकर्मणि","उदः अनूर्ध्वकर्मणि",
"13025","804","2692","उपान्मन्त्रकरणे","उपात् मन्त्रकरणे",
"13026","10","2693","अकर्मकाच्च","अकर्मकात् च",
"13027","751","2694","उद्विभ्यां तपः","उद्विभ्याम् तपः",
"13028","479","2695","आङो यमहनः","आङः यमहनः",
"13029","3656","2699","समो गम्यृच्छिप्रच्छिस्वरत्यर्तिश्रुविदिभ्यः","समः गम्यृच्छि-प्रच्छि-स्वरत्यर्ति-श्रुविदिभ्यः",
"13030","2214","2703","निसमुपविभ्यो ह्वः","निसमुपविभ्यः ह्वः",
"13031","3844","2704","स्पर्द्धायामाङः","स्पर्द्धायाम् आङः",
"13032","1270","2705","गन्धनावक्षेपणसेवनसाहसिक्यप्रतियत्नप्रकथनोपयोगेषु कृञः","गन्धनावक्षेपणसेवनसाहसिक्य-प्रतियत्नप्रकथनोपयोगेषु कृञः",
"13033","156","2706","अधेः प्रसहने","अधेः प्रसहने",
"13034","3299","2707","वेः शब्दकर्म्मणः","वेः शब्दकर्म्मणः",
"13035","11","2708","अकर्मकाच्च","अकर्मकात् च",
"13036","3670","2709","सम्माननोत्सञ्जनाचार्यकरणज्ञानभृतिविगणनव्ययेषु नियः","सम्माननोत्सञ्जनाचार्यकरणज्ञानभृतिविगणनव्ययेषु नियः",
"13037","1003","2710","कर्तृस्थे चाशरीरे कर्मणि","कर्तृस्थे च अशरीरे कर्मणि",
"13038","3280","2711","वृत्तिसर्गतायनेषु क्रमः","वृत्तिसर्गतायनेषु क्रमः",
"13039","764","2712","उपपराभ्याम्","उपपराभ्याम्",
"13040","473","2713","आङ उद्गमने","आङः उद्गमने",
"13041","3298","2714","वेः पादविहरणे","वेः पादविहरणे",
"13042","2564","2715","प्रोपाभ्यां समर्थाभ्याम्","प्रोपाभ्याम् समर्थाभ्याम्",
"13043","212","2716","अनुपसर्गाद्वा","अनुपसर्गात् वा",
"13044","286","2717","अपह्नवे ज्ञः","अपह्नवे ज्ञः",
"13045","12","2718","अकर्मकाच्च","अकर्मकात् च",
"13046","3660","2719","सम्प्रतिभ्यामनाध्याने","सम्प्रतिभ्याम् अनाध्याने",
"13047","2667","2720","भासनोपसम्भाषाज्ञानयत्नविमत्युपमन्त्रणेषु वदः","भासनोपसम्भाषाज्ञानयत्नविमत्युपमन्त्रणेषु वदः",
"13048","3320","2721","व्यक्तवाचां समुच्चारणे","व्यक्तवाचाम् समुच्चारणे",
"13049","231","2722","अनोरकर्मकात्","अनोः अकर्मकात्",
"13050","3223","2723","विभाषा विप्रलापे","विभाषा विप्रलापे",
"13051","388","2724","अवाद्ग्रः","अवात् ग्रः",
"13052","3620","2725","समः प्रतिज्ञाने","समः प्रतिज्ञाने",
"13053","731","2726","उदश्चरः सकर्मकात्","उदः चरः सकर्मकात्",
"13054","3630","2727","समस्तृतीयायुक्तात्","समः तृतीयायुक्तात्",
"13055","1841","2728","दाणश्च सा चेच्चतुर्थ्यर्थे","दाणः च सा चेत् चतुर्थ्यर्थे",
"13056","802","2729","उपाद्यमः स्वकरणे","उपात् यमः स्वकरणे",
"13057","1530","2731","ज्ञाश्रुस्मृदृशां सनः","ज्ञाश्रुस्मृदृशाम् सनः",
"13058","2151","2732","नानोर्ज्ञः","न अनोः ज्ञः",
"13059","2481","2733","प्रत्याङ्भ्यां श्रुवः","प्रत्याङ्भ्याम् श्रुवः",
"13060","3356","2362","शदेः शितः","शदेः शितः",
"13061","2803","2538","म्रियतेर्लुङ्‌लिङोश्च","म्रियते लुङ्‌लिङोः च",
"13062","2422","2734","पूर्ववत् सनः","पूर्ववत् सनः",
"13063","556","2240","आम्प्रत्ययवत् कृञोऽनुप्रयोगस्य","आम्प्रत्ययवत् कृञः अनुप्रयोगस्य",
"13064","2563","2735","प्रोपाभ्यां युजेरयज्ञपात्रेषु","प्रोपाभ्याम् युजेः अयज्ञपात्रेषु",
"13065","3619","2736","समः क्ष्णुवः","समः क्ष्णुवः",
"13066","2682","2737","भुजोऽनवने","भुजः अनवने",
"13067","1583","2738","णेरणौ यत् कर्म णौ चेत् स कर्ताऽनाध्याने","णेः अणौ यत् कर्म णौ चेत् सः कर्ता अनाध्याने",
"13068","2678","2594","भीस्म्योर्हेतुभये","भीस्म्योः हेतुभये",
"13069","1303","2739","गृधिवञ्च्योः प्रलम्भने","गृधिवञ्च्योः प्रलम्भने",
"13070","3001","2592","लियः सम्माननशालिनीकरणयोश्च","लियः सम्माननशालिनीकरणयोः च",
"13071","2780","2740","मिथ्योपपदात् कृञोऽभ्यासे","मिथ्योपपदात् कृञः अभ्यासे",
"13072","3876","2158","स्वरितञितः कर्त्रभिप्राये क्रियाफले","स्वरितञितः कर्त्रभिप्राये क्रियाफले",
"13073","292","2741","अपाद्वदः","अपात् वदः",
"13074","1580","2564","णिचश्च","णिचः च",
"13075","3651","2742","समुदाङ्भ्यो यमोऽग्रन्थे","समुदाङ्भ्यः यमः अग्रन्थे",
"13076","210","2743","अनुपसर्गाज्ज्ञः","अनुपसर्गात् ज्ञः",
"13077","3253","2744","विभाषोपपदेन प्रतीयमाने","विभाषा उपपदेन प्रतीयमाने",
"13078","3428","2159","शेषात् कर्तरि परस्मैपदम्","शेषात् कर्तरि परस्मैपदम्",
"13079","209","2745","अनुपराभ्यां कृञः","अनुपराभ्याम् कृञः",
"13080","311","2746","अभिप्रत्यतिभ्यः क्षिपः","अभिप्रत्यतिभ्यः क्षिपः",
"13081","2543","2747","प्राद्वहः","प्रात् वहः",
"13082","2325","2748","परेर्मृषः","परेः मृषः",
"13083","3330","2749","व्याङ्परिभ्यो रमः","व्याङ्परिभ्यः रमः",
"13084","797","2750","उपाच्च","उपात् च",
"13085","3242","2751","विभाषाऽकर्मकात्","विभाषा अकर्मकात्",
"13086","2626","2752","बुधयुधनशजनेङ्प्रुद्रुस्रुभ्यो णेः","बुधयुधनशजनेङ्-प्रुद्रुस्रुभ्यः णेः",
"13087","2166","2753","निगरणचलनार्थेभ्यः","निगरणचलनार्थेभ्यः च",
"13088","83","2754","अणावकर्मकाच्चित्तवत्कर्तृकात्","अणौ अकर्मकात् चित्तवत्कर्तृकात्",
"13089","2042","2755","न पादम्याङ्यमाङ्यसपरिमुहरुचिनृतिवदवसः","न पादम्याङ्यमाङ्यसपरिमुहरुचिनृतिवदवसः",
"13090","3100","2669","वा क्यषः","वा क्यषः",
"13091","1926","2345","द्युद्भ्यो लुङि","द्‍युभ्यः लुङि",
"13092","3293","2347","वृद्भ्यः स्यसनोः","वृद्‍भ्यः स्यसनोः",
"13093","3011","2351","लुटि च कॢपः","लुटि च कॢपः",
"14001","457","232","आ कडारादेका संज्ञा","आ कडारात् एका संज्ञा",
"14002","3178","175","विप्रतिषेधे परं कार्यम्","विप्रतिषेधे परम् कार्यम्",
"14003","2880","266","यू स्त्र्याख्यौ नदी","यू स्त्र्याख्यौ नदी",
"14004","2232","303","नेयङुवङ्स्थानावस्त्री","न इयङुवङ्स्थानौ अस्त्री",
"14005","3127","304","वाऽऽमि","वा आमि",
"14006","1373","293","ङिति ह्रस्वश्च","ङिति ह्रस्वश् च",
"14007","3437","243","शेषो घ्यसखि","शेषः घि असखि",
"14008","2269","257","पतिः समास एव","पतिः समासे एव",
"14009","3489","3389","षष्ठीयुक्तश्छन्दसि वा","षष्ठीयुक्तः छन्दसि वा",
"14010","3967","31","ह्रस्वं लघु","ह्रस्वम् लघु",
"14011","3562","32","संयोगे गुरु","संयोगे गुरु",
"14012","1879","33","दीर्घं च","दीर्घम् च",
"14013","2846","199","यस्मात् प्रत्ययविधिस्तदादि प्रत्ययेऽङ्गम्","यस्मात् प्रत्ययविधिः तदादि प्रत्यये अङ्गम्",
"14014","3763","29","सुप्तिङन्तं पदम्","सुप्तिङन्तम् पदम्",
"14015","2082","2651","नः क्ये","नः क्ये",
"14016","3734","2252","सिति च","सिति च",
"14017","3889","230","स्वादिष्वसर्वनामस्थाने","स्वादिषु असर्वनमस्थाने",
"14018","2810","231","यचि भम्","यचि भम्",
"14019","1682","1896","तसौ मत्वर्थे","तसौ मत्वर्थे",
"14020","341","3370","अयस्मयादीनि च्छन्दसि","अयस्मयादीनि छन्दसि",
"14021","2608","187","बहुषु बहुवचनम्","बहुषु बहुवचनम्",
"14022","1985","186","द्व्येकयोर्द्विवचनैकवचने","द्व्-येकयोः द्विवचनैकवचने",
"14023","1053","534","कारके","कारके",
"14024","2009","586","ध्रुवमपायेऽपादानम्","ध्रुवम् अपाये अपादानम्",
"14025","2675","588","भीत्रार्थानां भयहेतुः","भीत्रार्थानाम् भयहेतुः",
"14026","2303","589","पराजेरसोढः","पराजेः असोढः",
"14027","3145","590","वारणार्थानां ईप्सितः","वारणार्थानाम् ईप्सितः",
"14028","245","591","अन्तर्द्धौ येनादर्शनमिच्छति","अन्तर्द्धौ येन अदर्शनम् इच्छति पदम्",
"14029","469","592","आख्यातोपयोगे","आख्याता उपयोगे",
"14030","1484","593","जनिकर्तुः प्रकृतिः","जनिकर्तुः प्रकृतिः",
"14031","2683","594","भुवः प्रभवः","भुवः प्रभवः",
"14032","1009","569","कर्मणा यमभिप्रैति स सम्प्रदानम्","कर्मणा यम् अभिप्रैति सः सम्प्रदानम्",
"14033","2942","571","रुच्यर्थानां प्रीयमाणः","रुच्यर्थानाम् प्रीयमाणः",
"14034","3459","572","श्लाघह्नुङ्स्थाशपां ज्ञीप्स्यमानः","श्लाघह्नुङ्स्थाशपाम् ज्ञीप्स्यमानः",
"14035","2003","573","धारेरुत्तमर्णः","धारेः उत्तमर्णः",
"14036","3847","574","स्पृहेरीप्सितः","स्पृहेः ईप्सितः",
"14037","1213","575","क्रुधद्रुहेर्ष्याऽसूयार्थानां यं प्रति कोपः","क्रुधद्रुहेर्ष्यासूयार्थानाम् यम् प्रति कोपः",
"14038","1214","576","क्रुधद्रुहोरुपसृष्टयोः कर्म","क्रुधद्रुहोः उपसृष्टयोः कर्म",
"14039","2931","577","राधीक्ष्योर्यस्य विप्रश्नः","राधीक्ष्योः यस्य विप्रश्नः",
"14040","2482","578","प्रत्याङ्भ्यां श्रुवः पूर्वस्य कर्ता","प्रत्याङ्भ्याम् श्रुवः पूर्वस्य कर्ता",
"14041","215","579","अनुप्रतिगृणश्च","अनुप्रतिगृणः च",
"14042","3715","560","साधकतमं करणम्","साधकतमम् करणम्",
"14043","1865","562","दिवः कर्म च","दिवः कर्म च",
"14044","2308","580","परिक्रयणे सम्प्रदानमन्यतरस्याम्","परिक्रयणे सम्प्रदानम् अन्यतरस्याम्",
"14045","536","632","आधारोऽधिकरणम्","आधारः अधिकरणम्",
"14046","152","542","अधिशीङ्स्थाऽऽसां कर्म","अधिशीङ्स्थाऽऽसाम् कर्म",
"14047","308","543","अभिनिविशश्च","अभिनिविशः च",
"14048","805","544","उपान्वध्याङ्वसः","उपान्वध्याङ्वसः",
"14049","998","535","कर्तुरीप्सिततमं कर्म","कर्तुः ईप्सिततमम् कर्म",
"14050","1624","538","तथायुक्तं चानिप्सीतम्","तथा युक्तम् च आनिप्सीतम्",
"14051","7","539","अकथितं च","अकथितम् च",
"14052","1260","540","गतिबुद्धिप्रत्यवसानार्थशब्दकर्माकर्मकाणामणि कर्ता","गतिबुद्धिप्रत्यवसानार्थशब्दकर्माकर्मकाणाम् अणि कर्ता सः णौ",
"14053","3947","541","हृक्रोरन्यतरस्याम्","हृक्रोः अन्यतरस्याम्",
"14054","3864","559","स्वतन्त्रः कर्ता","स्वतन्त्रः कर्ता",
"14055","1610","2575","तत्प्रयोजको हेतुश्च","तत्प्रयोजकः हेतुः च",
"14056","2526","19","प्राग्रीश्वरान्निपाताः","प्राक् रीश्वरात् निपाताः",
"14057","1405","20","चादयोऽसत्त्वे","चादयः असत्त्वे",
"14058","2541","21","प्रादयः","प्रादयः",
"14059","780","22","उपसर्गाः क्रियायोगे","उपसर्गाः क्रियायोगे",
